학교ID,학교명,gu,current_students_2025,cohort_change_2029,cohort_change_2031,model1_forecast_2029,model2_forecast_2029,model1_forecast_2031,model2_forecast_2031
B000003163,인천가좌초등학교,서구,384,1.060812779691576,1.0833372217020765,245,295,191,256
B000003168,인천가현초등학교,서구,2044,1.060812779691576,1.0833372217020765,2154,1796,2183,1635
B000003137,인천간재울초등학교,서구,996,1.060812779691576,1.0833372217020765,818,771,700,669
B000003150,인천건지초등학교,서구,209,1.060812779691576,1.0833372217020765,125,160,92,139
B000003152,인천검단초등학교,서구,680,1.060812779691576,1.0833372217020765,539,534,470,467
B000003171,인천검암초등학교,서구,198,1.060812779691576,1.0833372217020765,112,153,67,132
B000003134,인천경명초등학교,서구,891,1.060812779691576,1.0833372217020765,551,686,365,595
B000003138,인천경서초등학교,서구,568,1.060812779691576,1.0833372217020765,418,442,345,384
B000025751,인천경연초등학교,서구,1017,1.060812779691576,1.0833372217020765,1333,889,1338,811
B000003135,인천공촌초등학교,서구,205,1.060812779691576,1.0833372217020765,73,149,31,126
B000003161,인천금곡초등학교,서구,269,1.060812779691576,1.0833372217020765,183,211,152,184
B000003151,인천능내초등학교,서구,545,1.060812779691576,1.0833372217020765,373,422,296,367
B000003157,인천단봉초등학교,서구,734,1.060812779691576,1.0833372217020765,592,578,533,505
B000003165,인천당하초등학교,서구,699,1.060812779691576,1.0833372217020765,412,526,245,452
B000025752,인천도담초등학교,서구,488,1.060812779691576,1.0833372217020765,496,369,442,318
B000003166,인천마전초등학교,서구,633,1.060812779691576,1.0833372217020765,443,488,342,423
B000003155,인천목향초등학교,서구,484,1.060812779691576,1.0833372217020765,323,371,253,321
B000003159,인천발산초등학교,서구,696,1.060812779691576,1.0833372217020765,544,568,501,503
B000026332,인천백석초등학교,서구,806,1.060812779691576,1.0833372217020765,657,627,574,545
B000003146,인천봉수초등학교,서구,1216,1.060812779691576,1.0833372217020765,1714,1379,1797,1381
B000003149,인천봉화초등학교,서구,298,1.060812779691576,1.0833372217020765,222,238,183,210
B000003154,인천불로초등학교,서구,658,1.060812779691576,1.0833372217020765,508,525,444,461
B000003170,인천서곶초등학교,서구,426,1.060812779691576,1.0833372217020765,275,325,205,280
B000003167,인천석남서초등학교,서구,321,1.060812779691576,1.0833372217020765,193,241,148,207
B000003144,인천석남초등학교,서구,454,1.060812779691576,1.0833372217020765,290,351,221,305
B000003143,인천신석초등학교,서구,277,1.060812779691576,1.0833372217020765,147,210,96,180
B000003147,인천신현북초등학교,서구,360,1.060812779691576,1.0833372217020765,269,269,219,230
B000003169,인천신현초등학교,서구,249,1.060812779691576,1.0833372217020765,179,184,172,157
B000003142,인천심곡초등학교,서구,195,1.060812779691576,1.0833372217020765,74,147,31,126
B000026466,인천아라초등학교,서구,1154,1.060812779691576,1.0833372217020765,1359,965,1393,863
B000026468,인천아람초등학교,서구,907,1.060812779691576,1.0833372217020765,1409,806,1403,736
B000003141,인천양지초등학교,서구,243,1.060812779691576,1.0833372217020765,150,187,105,162
B000003153,인천완정초등학교,서구,434,1.060812779691576,1.0833372217020765,288,331,222,286
B000003156,인천왕길초등학교,서구,490,1.060812779691576,1.0833372217020765,326,375,262,324
B000003158,인천원당초등학교,서구,441,1.060812779691576,1.0833372217020765,313,356,274,314
B000003172,인천은지초등학교,서구,331,1.060812779691576,1.0833372217020765,257,244,183,207
B000026470,인천이음초등학교,서구,1934,1.060812779691576,1.0833372217020765,1772,1607,1672,1432
B000003160,인천창신초등학교,서구,738,1.060812779691576,1.0833372217020765,692,671,732,619
B000003145,인천천마초등학교,서구,144,1.060812779691576,1.0833372217020765,43,109,18,93
B000003139,인천청라초등학교,서구,1281,1.060812779691576,1.0833372217020765,1105,1018,1025,893
