school_id,school_name,gu,case_type,case_label,is_separate_bundle_tag,iso_green_ratio,iso_official_park_count,iso_playground_like_count,iso_small_child_park_count,iso_functional_park_count,nearest_official_park_dist_m,nearest_official_park_name,nearest_official_park_function_class,nearest_functional_park_dist_m,nearest_functional_park_name,nearest_functional_park_function_class,access_condition_type,access_condition_label,baseline_all_classes,exclude_playground_and_small_child,exclude_playground_like,baseline_all_classes_count,exclude_playground_like_count,exclude_playground_and_small_child_count,baseline_all_classes_case_type,baseline_all_classes_case_label_en,baseline_all_classes_priority_score,exclude_playground_like_case_type,exclude_playground_like_case_label_en,exclude_playground_like_priority_score,exclude_playground_and_small_child_case_type,exclude_playground_and_small_child_case_label_en,exclude_playground_and_small_child_priority_score,stored_current_case_type_norm,exclude_playground_like_changed_vs_stored_current,exclude_playground_like_changed_vs_same_basis_baseline,exclude_playground_and_small_child_changed_vs_stored_current,exclude_playground_and_small_child_changed_vs_same_basis_baseline
B000002990,인천학익초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.8526816371937526,0,0,0,0,50.0,학익공원,mid_activity_park,784.3,학익공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,175.3,175.3,175.3,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000002991,인천인주초등학교,미추홀구,3.0,"접근 가능, 중간 수준",0,1.5948290557003468,2,1,1,0,222.5,나리공원,small_child_park,222.5,선비공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,192.7,192.7,192.7,2,1,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,2,case2_access_low_green,3.0,3,False,False,True,True
B000002992,인천연학초등학교,미추홀구,4.0,접근 양호,0,6.8852393269625205,3,0,1,2,121.4,물방울어린이공원,small_child_park,409.1,미추홀공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,162.3,334.5,162.3,3,3,2,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000002993,연평초등학교,옹진군,,별도 묶음,1,0.0,0,0,0,0,16479.1,창포공원,small_child_park,,,,no_official_park,공원 접근 결핍형,63552.9,69258.1,69258.1,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000002994,대청초등학교,옹진군,,별도 묶음,1,0.0,0,0,0,0,16479.1,창포공원,small_child_park,,,,no_official_park,공원 접근 결핍형,153664.9,157422.4,157422.4,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000002995,영흥초등학교,옹진군,,별도 묶음,1,0.0,0,0,0,0,19637.4,영종하늘도시 6호,neighborhood_park_scale,,,,no_official_park,공원 접근 결핍형,19421.0,19421.0,19421.0,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000002996,덕적초등학교,옹진군,,별도 묶음,1,0.0,0,0,0,0,18983.5,영종하늘도시 6호,neighborhood_park_scale,,,,no_official_park,공원 접근 결핍형,33387.1,42133.9,42002.0,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000002997,북포초등학교,옹진군,,별도 묶음,1,0.0,0,0,0,0,16479.1,창포공원,small_child_park,,,,no_official_park,공원 접근 결핍형,160751.8,161863.4,161863.4,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000002998,백령초등학교,옹진군,,별도 묶음,1,0.0,0,0,0,0,16479.1,창포공원,small_child_park,,,,no_official_park,공원 접근 결핍형,156952.0,157466.9,157466.9,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000002999,인천공항초등학교신도분교장,옹진군,,별도 묶음,1,0.0,0,0,0,0,6831.7,창포공원,small_child_park,,,,no_official_park,공원 접근 결핍형,4028.8,4028.8,4028.8,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000003000,인천삼목초등학교장봉분교장,옹진군,,별도 묶음,1,0.0,0,0,0,0,16196.8,창포공원,small_child_park,,,,no_official_park,공원 접근 결핍형,8330.3,13186.7,13186.7,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000003004,인천남부초등학교이작분교장,옹진군,,별도 묶음,1,0.0,0,0,0,0,18983.5,영종하늘도시 6호,neighborhood_park_scale,,,,no_official_park,공원 접근 결핍형,33813.9,39699.3,39699.3,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000003005,인천용현남초등학교자월분교장,옹진군,,별도 묶음,1,0.0,0,0,0,0,18983.5,영종하늘도시 6호,neighborhood_park_scale,,,,no_official_park,공원 접근 결핍형,24329.4,30493.1,30493.1,0,0,0,,separate_bundle,,,separate_bundle,,,separate_bundle,,,False,False,False,False
B000003006,인천부평서초등학교,부평구,2.0,접근 가능하나 녹지 부족,0,0.2912266991658678,1,1,0,0,304.0,서부동놀이공원,playground_like,862.8,부흥놀이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,202.8,814.6,814.6,1,0,0,2,case2_access_low_green,3.0,,,,,,,2,True,True,True,True
B000003007,인천부곡초등학교,부평구,2.0,접근 가능하나 녹지 부족,0,0.865276661289274,0,0,0,0,420.0,마장공원,neighborhood_park_scale,779.6,마장공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,317.8,317.8,317.8,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000003008,인천마곡초등학교,부평구,3.0,"접근 가능, 중간 수준",0,1.5676121085960033,2,1,1,0,0.0,성벽어린이공원,small_child_park,1094.3,푸른내어린이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,66.8,345.7,66.8,2,1,0,3,case3_access_mid_green,2.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,3,True,True,True,True
B000003009,인천대정초등학교,부평구,2.0,접근 가능하나 녹지 부족,0,0.0,0,0,0,0,317.0,마장공원,neighborhood_park_scale,1287.1,마장공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,602.9,602.9,602.9,0,0,0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,2,True,False,True,False
B000003010,인천청천초등학교,부평구,4.0,접근 양호,0,5.0886733067130905,3,0,3,0,113.7,어울림어린이공원,mid_activity_park,113.7,어울림어린이공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,86.3,86.3,86.3,3,3,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,4,True,False,True,False
B000003011,인천갈산초등학교,부평구,3.0,"접근 가능, 중간 수준",0,4.009450590234919,1,0,0,1,212.0,상꾸지놀이공원,mid_activity_park,359.8,상꾸지놀이공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,124.6,318.8,124.6,1,1,1,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,False,False,False,False
B000003012,인천후정초등학교,부평구,3.0,"접근 가능, 중간 수준",0,1.7474424679514575,1,0,1,0,65.9,동화놀이공원,small_child_park,507.1,도드리놀이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,65.8,65.8,65.8,1,1,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,2,case2_access_low_green,3.0,3,False,False,True,True
B000003013,인천영선초등학교,부평구,3.0,"접근 가능, 중간 수준",0,1.762688543354465,0,0,0,0,145.9,햇살공원,mid_activity_park,145.9,햇살공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,150.8,150.8,150.8,0,0,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,2,case2_access_low_green,3.0,3,False,False,True,True
B000003014,인천진산초등학교,부평구,4.0,접근 양호,0,14.020999494165734,1,0,0,1,152.0,새싹공원,mid_activity_park,152.0,새싹공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,202.6,202.6,202.6,1,1,1,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000003015,인천구산초등학교,부평구,4.0,접근 양호,0,6.00706905267396,1,0,1,0,105.0,부개공원,neighborhood_park_scale,182.6,부개공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,152.7,152.7,152.7,1,1,0,4,case4_good_access,1.0,4,case4_good_access,1.0,3,case3_access_mid_green,2.0,4,False,False,True,True
B000003016,인천부일초등학교,부평구,3.0,"접근 가능, 중간 수준",0,4.687834898287536,0,0,0,0,0.0,동소정놀이공원,small_child_park,63.6,새말놀이공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,56.4,225.6,56.4,0,0,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,False,False,False,False
B000003017,인천부내초등학교,부평구,4.0,접근 양호,0,28.65007072493161,1,0,0,1,263.6,대촌공원,neighborhood_park_scale,263.6,대촌공원,neighborhood_park_scale,functional_access_with_barrier,보행부담 동반형,105.6,105.6,105.6,1,1,1,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000003018,인천부개서초등학교,부평구,2.0,접근 가능하나 녹지 부족,0,0.5277954968138828,0,0,0,0,232.0,한가람공원,mid_activity_park,576.8,한가람공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,131.5,131.5,131.5,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000003019,인천부광초등학교,부평구,4.0,접근 양호,0,5.659629676069274,3,0,1,2,117.6,세영공원,neighborhood_park_scale,117.6,세영공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,87.8,87.8,87.8,3,3,2,4,case4_good_access,1.0,4,case4_good_access,1.0,3,case3_access_mid_green,2.0,4,False,False,True,True
B000003020,인천일신초등학교,부평구,3.0,"접근 가능, 중간 수준",0,1.510163863251238,2,1,0,1,218.4,일신놀이공원,mid_activity_park,218.4,일신놀이공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,123.7,123.7,123.7,2,1,1,3,case3_access_mid_green,2.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,3,True,True,True,True
B000003021,인천금마초등학교,부평구,2.0,접근 가능하나 녹지 부족,0,0.0,0,0,0,0,477.0,일신놀이공원,mid_activity_park,835.7,일신놀이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,311.4,321.5,321.5,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
