관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis,review_reason
28200-00014,만수공원,어린이공원,37.45354611,126.7276999,1658.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00011,만월공원,어린이공원,37.4498343,126.7164526,1510.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00031,유수지공원,근린공원,37.39541081,126.6844504,10000.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28200-00029,승기공원,근린공원,37.4232077,126.704707,22623.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28200-00075,오봉공원,어린이공원,37.41844881,126.7315058,1429.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28200-00071,방죽공원,어린이공원,37.40804471,126.7384684,1607.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00062,오봉공원,근린공원,37.41844881,126.7315058,10256.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00090,별빛공원,근린공원,37.42901005,126.6985718,34518.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00056,새싹공원,어린이공원,37.42617195,126.6491617,2362.0,연수구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28237-00073,꿈나무공원,어린이공원,37.50274849,126.7251051,2582.0,부평구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28237-00072,만월공원,어린이공원,37.48402095,126.7280489,3179.0,부평구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28237-00052,무지개공원,어린이공원,37.50886664,126.7360227,3395.0,부평구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28237-00050,새싹공원,어린이공원,37.51398326,126.7398045,4095.0,부평구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28140-00003,인천교공원,근린공원,37.47784433,126.6696185,94068.8,동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00074,미단시티 1호,근린공원,37.5182364676,126.5359036,39204.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28110-00072,영종하늘도시 22호,소공원,37.49386683,126.5007575,1239.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28110-00071,영종하늘도시 21호,소공원,37.49589364,126.5017221,1256.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
