학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,current_students,capacity,coordinate_status,coordinate_source,gu
B000012236,인천고등학교,37.45295893,126.6913054,인천광역시 미추홀구 경원대로 804,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012237,학익여자고등학교,37.44381933,126.6753484,인천광역시 미추홀구 주승로52번길 8,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012238,인화여자고등학교,37.47099649,126.6548626,인천광역시 미추홀구 석정로 165,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012239,인항고등학교,37.44681429,126.6407082,인천광역시 미추홀구 매소홀로 135,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012240,인하대학교사범대학부속고등학교,37.44596571,126.6628662,인천광역시 미추홀구 재넘이길123번길 29,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012241,인명여자고등학교,37.44037081,126.6972234,인천광역시 미추홀구 문화로 11,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012242,연수고등학교,37.41173562,126.6801271,인천광역시 연수구 원인재로 145,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012243,인천여자고등학교,37.42188142,126.6903145,인천광역시 연수구 비류대로506번길 14,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012244,연수여자고등학교,37.41103535,126.6723295,인천광역시 연수구 먼우금로141번길 9,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000012245,옥련여자고등학교,37.43190903,126.6488476,인천광역시 연수구 옥골로 77,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
