학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000008767,화도진중학교,exact_edge_trim_v3,11.0,77,8493.3,1,277118,0.3528,,,,
B000011827,인천해사고등학교,exact_edge_trim_v3,62.7,15,1732.4,1,93797,0.1194,,,,
B000012272,삼산고등학교,exact_edge_trim_v3,40.5,110,7746.5,1,287683,0.3663,,,,
B000023258,인천전자마이스터고등학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000008805,구산중학교,exact_edge_trim_v3,18.2,57,4933.2,1,171127,0.2179,,,,
B000011420,인천중앙여자고등학교,exact_edge_trim_v3,21.7,113,9039.9,1,373530,0.4756,,,,
B000008807,부일중학교,exact_edge_trim_v3,47.6,79,6834.9,1,283175,0.3605,,,,
B000012270,인천부흥고등학교,exact_edge_trim_v3,45.0,59,6241.3,1,316881,0.4035,,,,
B000008781,인주중학교,exact_edge_trim_v3,41.5,36,3538.4,1,180331,0.2296,,,,
B000012278,계산고등학교,exact_edge_trim_v3,35.6,56,5238.6,1,219159,0.279,,,,
B000011422,영화국제관광고등학교,exact_edge_trim_v3,81.6,83,6500.3,1,193222,0.246,,,,
B000012246,인천해송고등학교,exact_edge_trim_v3,79.1,10,1322.4,1,85656,0.1091,,,,
B000012250,인천남고등학교,exact_edge_trim_v3,21.6,77,8905.1,1,418759,0.5332,,,,
B000008864,가좌중학교,exact_edge_trim_v3,25.8,50,7123.1,1,349179,0.4446,,,,
B000008787,백령중학교,exact_edge_trim_v3,93.0,9,1798.6,1,117460,0.1496,,,,
B000008779,용현여자중학교,exact_edge_trim_v3,62.2,14,2041.2,1,128137,0.1631,,,,
B000008858,인천안남중학교,exact_edge_trim_v3,9.5,148,13126.0,1,471856,0.6008,,,,
B000008835,인천사리울중학교,exact_edge_trim_v3,53.3,18,2580.8,1,175913,0.224,,,,
B000012240,인하대학교사범대학부속고등학교,exact_edge_trim_v3,25.0,43,4902.5,1,237336,0.3022,,,,
B000013524,인천예일고등학교,exact_edge_trim_v3,45.6,53,4735.0,1,225511,0.2871,,,,
B000008846,계산중학교,exact_edge_trim_v3,31.9,42,3256.9,1,143425,0.1826,,,,
B000008842,논곡중학교,exact_edge_trim_v3,20.3,33,3317.1,1,159937,0.2036,,,,
B000011434,부평공업고등학교,exact_edge_trim_v3,45.7,73,5050.5,1,187319,0.2385,,,,
B000011440,인천보건고등학교,exact_edge_trim_v3,78.9,16,2196.3,1,102933,0.1311,,,,
B000013525,인천신현고등학교,exact_edge_trim_v3,39.4,44,4718.4,1,236123,0.3006,,,,
B000008850,북인천중학교,exact_edge_trim_v3,7.7,76,6065.5,1,250592,0.3191,,,,
B000012280,계산여자고등학교,exact_edge_trim_v3,21.7,123,9910.0,1,415028,0.5284,,,,
B000012302,인천영흥고등학교,exact_edge_trim_v3,28.0,42,2414.0,1,127510,0.1624,,,,
B000012245,옥련여자고등학교,exact_edge_trim_v3,42.2,6,1799.4,1,125063,0.1592,,,,
B000008857,인천예일중학교,exact_edge_trim_v3,72.0,28,3306.1,1,160344,0.2042,,,,
B000008859,작전중학교,exact_edge_trim_v3,38.2,72,7368.1,1,311218,0.3963,,,,
B000008762,용유중학교,exact_edge_trim_v3,22.3,31,3417.7,1,179570,0.2286,,,,
B000012305,덕적고등학교,exact_edge_trim_v3,22.1,27,2436.8,1,132295,0.1684,,,,
B000012256,인천고잔고등학교,exact_edge_trim_v3,69.2,30,3440.0,1,188227,0.2397,,,,
B000008828,만수북중학교,exact_edge_trim_v3,40.2,70,4209.1,1,166744,0.2123,,,,
B000008760,신흥여자중학교,exact_edge_trim_v3,24.9,57,5659.4,1,225617,0.2873,,,,
