학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-0fdcd04de8b6ed6d,인천왕길초등학교병설유치원,2025,29,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-55058525ba8494ab,인천원당초등학교병설유치원,2025,25,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-4c7d06e164ffce6c,인천은지초등학교병설유치원,2025,28,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-7b7d4c15574d22f9,인천이음초등학교병설유치원,2025,92,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-1fd9f21caa124372,인천창신초등학교병설유치원,2025,38,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-df8423dbb089d99c,인천청라초등학교병설유치원,2025,65,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-55f85ae587a7a257,인천청람초등학교병설유치원,2025,39,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-1106537bcfb62fe4,인천청일초등학교병설유치원,2025,44,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-4a424ece4c3030f0,인천초은초등학교병설유치원,2025,59,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-b71b3fb614f2b85a,인천푸른빛유치원,2025,132,11,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-a89bac762d6f5efb,인천한들초등학교병설유치원,2025,92,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-4ff73e805db03cdf,인천한별초등학교병설유치원,2025,63,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-2b9a80a829c012d7,인천해든초등학교병설유치원,2025,63,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-bfe5172d21d17747,인천해원초등학교병설유치원,2025,55,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-136bbfeb0cacbeb0,일영유치원,2025,182,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-d8c137ce638ca39b,재은유치원,2025,112,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-960ae6297334b559,청라새싹유치원,2025,348,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-9c3128f86f9e804f,청라유치원,2025,130,11,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-287edcd5656c8d18,큰사랑유치원,2025,207,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-8550dfd9204474b8,프라임청라유치원,2025,265,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-6ea342592d10ee06,한샘유치원,2025,141,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-3c0aa6a5169882ee,한울유치원,2025,154,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-1f328ba143036bf8,해나라유치원,2025,309,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-ca7704409b2eeaf2,희망찬유치원,2025,170,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
