학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000003123,인천계산초등학교,162,95,59,95,59,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002987,인천주안북초등학교,362,281,248,281,248,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003144,인천석남초등학교,454,294,222,294,222,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003168,인천가현초등학교,2044,2201,2172,2201,2172,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003142,인천심곡초등학교,195,87,39,87,39,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002996,덕적초등학교,17,4,2,4,2,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003025,인천부개초등학교,195,101,50,101,50,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003103,인천담방초등학교,369,202,130,202,130,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003088,인천사리울초등학교,519,425,370,425,370,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002957,인천공항초등학교,415,271,207,271,207,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003075,인천구월서초등학교,924,891,882,891,882,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002964,인천송현초등학교,347,115,48,115,48,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003051,인천능허대초등학교,701,514,430,514,430,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003035,인천산곡남초등학교,417,259,199,259,199,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003152,인천검단초등학교,680,531,468,531,468,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
