source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029300:1731,1731,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 주안동 8-33,37.4689466,126.6784479,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 8-33,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-10,2001-11-12,2001-11-17,제1종근린생활시설,163.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1732,1732,건축행정기록,단독주택,인천광역시 미추홀구 숭의동 103-44,37.4688821,126.6471914,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 숭의동 103-44,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-10,2001-11-17,2005-07-22,단독주택,83.89,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1733,1733,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 주안동 126-7,37.4641546,126.6833548,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 126-7,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-11-06,2001-11-12,,제1종근린생활시설,291.4,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1734,1734,건축행정기록,단독주택,인천광역시 미추홀구 용현동 617-42,37.4514879,126.6381983,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 617-42,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-06,2001-11-12,2001-12-18,단독주택,184.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1735,1735,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 학익동 437-24,37.4441638,126.6623749,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 437-24,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-10-31,2001-10-31,2002-01-04,제1종근린생활시설,159,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1736,1736,건축행정기록,단독주택,인천광역시 미추홀구 도화동 388-13,37.4613614,126.6744290,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 도화동 388-13,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-10-26,2001-10-31,2005-05-23,단독주택,100,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1737,1737,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 주안동 544-9,37.4550931,126.6775189,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 544-9,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-10-25,2002-06-26,,제1종근린생활시설,165.6,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1738,1738,건축행정기록,단독주택,인천광역시 미추홀구 용현동 191-37,37.4477484,126.6613519,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 191-37,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-10-25,2001-11-06,,단독주택,149,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1739,1739,건축행정기록,단독주택,인천광역시 미추홀구 용현동 617-84,37.4512378,126.6386748,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 617-84,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-10-24,2001-10-26,2002-01-18,단독주택,206.2,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1740,1740,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 숭의동 297-2,37.4581581,126.6468982,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 숭의동 297-2,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-10-24,2001-10-26,2002-01-08,제1종근린생활시설,110.99,"주소 기반 추정 위치, 공사현장 좌표 아님"
