school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status
부평고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
삼산고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
송도고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
연수여자고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
영종국제물류고,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인제고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천금융고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천남고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천대중예술고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천상정고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천신현고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천이음고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천중산고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
