도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
청천도서관,공공,부평구,37.5058741,126.714391,68573,149,09:00~22:00,일+월+법정공휴일,2025-10-31,원본
초록필그림도서관,작은,부평구,37.48367,126.7450353942,1000,42,10:00~14:00,일+월+법정공휴일,2025-10-31,원본
춤추는달팽이도서관,작은,부평구,37.47695911,126.708486,7681,50,09:00~18:00,토+일+법정공휴일,2025-10-31,원본
포도나무 작은도서관,작은,부평구,37.493988,126.7027288,2793,10,10:00~18:00,일+법정공휴일,2025-10-31,원본
하브루타도서관,작은,부평구,37.48839372,126.7231464,2653,20,09:00~16:30,일+월+법정공휴일,2025-10-31,원본
하우스디 작은도서관,작은,부평구,37.51163779,126.7088263,2802,18,13:00~18:00,토+일+법정공휴일,2025-10-31,원본
하하작은도서관,작은,부평구,37.486154,126.7129067,4237,30,10:00~18:00,월+일+법정공휴일,2025-10-31,원본
한아름작은도서관,작은,부평구,37.50838429,126.728054,1099,16,14:00~18:00,일+월+법정공휴일,2025-10-31,원본
함께하는 사랑밭 그림책도서관 1호점,작은,부평구,37.48507961,126.720672,4116,10,10:00~19:00,월+일+법정공휴일,2025-10-31,원본
해오름작은도서관,작은,부평구,37.512637,126.707052,5481,12,09:00~18:00,일+월+법정공휴일,2025-10-31,원본
호별 작은도서관,작은,부평구,37.50464773,126.7198167,1300,6,12:00~18:00,화+토+일+법정공휴일,2025-10-31,원본
홀리스디어린이도서관,작은,부평구,37.51506,126.7336,1585,30,13:00~17:00,일+월+법정공휴일,2025-10-31,원본
희망천작은도서관,작은,부평구,37.482228,126.7145029,13667,26,10:00~18:00,토+일+법정공휴일,2025-10-31,원본
5B2F(빠삐뚜엡) 작은도서관,작은,서구,37.5894066,126.6790581,3004,34,12:30~17:00,월+토+일+법정공휴일,2025-11-14,원본
S.F 영어 작은도서관,작은,서구,37.54244373,126.6716546,2300,20,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
SK리더스뷰 작은도서관,작은,서구,37.52195565,126.6765082,2500,44,10:00~18:00,금+일+법정공휴일,2025-11-14,원본
The Way 작은도서관,작은,서구,37.54822157,126.6766898,5521,15,10:00~18:00,일+월+법정공휴일,2025-11-14,원본
e편한세상 검단어반센트로 작은도서관,작은,서구,37.58908783,126.7028069,1000,40,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
가재울 작은도서관,작은,서구,37.48748624,126.683403,11271,40,09:00~18:00,토+일+법정공휴일,2025-11-14,원본
가재울꿈어린이도서관,공공,서구,37.4943618068813,126.679628282051,263047,485,09:00~18:00,매주금요일+법정공휴일,2026-02-09,지오코딩
가정 행복 작은도서관,작은,서구,37.5383869821008,126.664531758977,1011,20,10:00~18:00,토+일+법정공휴일,2025-11-14,지오코딩
가정LH3단지 작은도서관,작은,서구,37.53233704,126.6645242,3000,24,09:00~17:00,일+법정공휴일,2025-11-14,원본
가정골 북카페,작은,서구,37.515517,126.677826,5504,30,09:00~18:00,토+일+법정공휴일,2025-11-14,원본
가정동 작은도서관,작은,서구,37.51981713,126.6736892,5000,24,11:00~17:00,월+법정공휴일,2025-11-14,원본
거북골 작은도서관,작은,서구,37.5025911,126.6746007,13705,6,09:00~17:00,토+일+법정공휴일,2025-11-14,원본
검단LH13단지 아라작은도서관,작은,서구,37.58421986,126.7052687,1020,18,10:00~17:00,토+일+법정공휴일,2025-11-14,원본
검단금호어울림센트럴 작은도서관,작은,서구,37.59624887,126.7143568,5594,40,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
검단도서관,공공,서구,37.600564,126.6653487,59282,265,09:00~22:00,월+국가지정공휴일,2025-11-14,원본
검단신안인스빌어반퍼스트 작은도서관,작은,서구,37.58189046,126.7125394,1500,32,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
검단행복 북카페,작은,서구,37.60508641,126.6618003,1965,40,09:00~18:00,토+일+법정공휴일,2025-11-14,원본
검암도서관,공공,서구,37.56602786,126.6830625,59928,350,09:00~22:00,월+국가지정공휴일,2025-11-14,원본
글잎새 작은도서관,작은,서구,37.56574195,126.6761717,1290,15,00:00~00:00,휴관,2025-11-14,원본
금곡하나아파트 문고,작은,서구,37.60378972,126.6527762,4745,12,09:00~17:30,일+법정공휴일,2025-11-14,원본
꿈꾸는 나무 도서관,작은,서구,37.53671329,126.6570027,5944,30,14:30~17:00,토+일+법정공휴일,2025-11-14,원본
꿈꾸는 작은도서관,작은,서구,37.49526648,126.6844068,4876,8,15:00~18:00,화+수+금+토+일+법정공휴일,2025-11-14,원본
