도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
힐데스 작은도서관,작은,서구,37.52770121,126.6505059,1367,31,13:00~19:00,일+법정공휴일,2025-11-14,원본
누리공원작은도서관,작은,연수구,37.37861056,126.6555701,10517,28,10:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
동춘나래도서관,공공,연수구,37.40769326,126.6641127,40410,154,09:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
문화공원작은도서관,작은,연수구,37.41812199,126.6823541,3505,40,10:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
선학별빛도서관,공공,연수구,37.42984697,126.6978867,63215,247,09:00~22:00,월+일+국가지정공휴일,2026-04-30,원본
솔안공원작은도서관,작은,연수구,37.41231176,126.6828579,11532,32,10:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
송도2동작은도서관,작은,연수구,37.40321868,126.6416744,18709,20,10:00~18:00,토+일+국가지정공휴일,2026-04-30,원본
송도3동작은도서관,작은,연수구,37.37148829,126.6601719,18057,20,10:00~18:00,토+일+국가지정공휴일,2026-04-30,원본
송도5동작은도서관,작은,연수구,37.413912,126.623216,11787,34,10:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
송도국제기구도서관,공공,연수구,37.3957475440498,126.633795278616,27237,76,09:00~18:00,주말+법정공휴일,2026-02-09,지오코딩
송도국제도서관,공공,연수구,37.3806385,126.6318499,49339,49,09:00~21:00,월+일+국가지정공휴일,2026-04-30,원본
송도국제어린이도서관,어린이,연수구,37.39798351,126.6536818,69243,104,09:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
연수1동작은도서관,작은,연수구,37.42225406,126.6810562,13590,20,10:00~18:00,토+일+국가지정공휴일,2026-04-30,원본
연수꿈담도서관,공공,연수구,37.41232194,126.6747371,48752,220,09:00~22:00,월+일+국가지정공휴일,2026-04-30,원본
연수도서관,공공,연수구,37.4179154908913,126.685325161603,237870,484,06:00~22:00,매주수요일+법정공휴일,2026-02-09,지오코딩
연수청학도서관,공공,연수구,37.42559122,126.6609778,82028,400,09:00~22:00,월+일+국가지정공휴일,2026-04-30,원본
옥련1동작은도서관,작은,연수구,37.42733824,126.6550908,17134,34,10:00~18:00,토+일+국가지정공휴일,2026-04-30,원본
옥련2동작은도서관,작은,연수구,37.42619045,126.6482901,22831,20,10:00~18:00,토+일+국가지정공휴일,2026-04-30,원본
인천광역시교육청연수도서관,공공,연수구,37.41791595,126.6853266,247697,743,06:00~22:00,수+법정공휴일,2025-08-04,원본
함박비류도서관,공공,연수구,37.42570148,126.686803,39127,142,09:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
해돋이도서관,공공,연수구,37.38582193,126.6590477,70313,165,09:00~22:00,월+일+국가지정공휴일,2026-04-30,원본
해찬솔공원작은도서관,작은,연수구,37.38816269,126.6680769,12771,33,10:00~18:00,월+일+국가지정공휴일,2026-04-30,원본
대청도서관,공공,옹진군,37.832716,124.6955698,18526,51,09:00~18:00,매주월요일,2025-07-03,원본
덕적작은도서관,작은,옹진군,37.22648044,126.1467783,1987,25,09:00~15:00,공휴일,2025-07-03,원본
백령도서관,공공,옹진군,37.97038803,124.7196892,29065,38,09:00~21:00,매주월요일,2025-07-03,원본
연평도서관,공공,옹진군,37.66251644,125.7048912,7164,59,09:00~21:00,매주월요일,2025-07-03,원본
