학교ID,학교명,nearest_park_name,nearest_park_dist_m,nearest_park_lat,nearest_park_lon
B000003061,인천서면초등학교,??????,338.0,37.40683307,126.667857
B000003062,인천연수초등학교,연일공원_37.419_126.692,714.9,37.41944263,126.6916193
B000003063,인천문남초등학교,문남공원_37.421_126.679,110.1,37.42118616,126.6786198
B000003064,인천옥련초등학교,새싹공원_37.426_126.649,242.4,37.42617195,126.6491617
B000003065,인천신정초등학교,송도  11호 어린이공원_37.400_126.647,270.5,37.39961709,126.6469166
B000003066,인천해송초등학교,미추홀공원_37.382_126.649,225.2,37.38238717,126.6494992
B000003067,인천신송초등학교,신송공원_37.390_126.658,0.0,37.39049361,126.6584207
B000003068,인천먼우금초등학교,먼우금공원(송도1호)_37.394_126.654,0.0,37.39431587,126.6543238
B000003069,인천박문초등학교,동춘5공원_37.403_126.666,0.0,37.40277417,126.6664903
B000003070,인천남촌초등학교,소촌공원_37.430_126.715,148.9,37.43043644,126.7151643
B000003071,인천성리초등학교,작은성말공원_37.448_126.708,300.9,37.44810912,126.7081595
B000003073,인천정각초등학교,장다리공원_37.457_126.719,335.8,37.45737534,126.7188991
B000003074,인천간석초등학교,용광공원_37.461_126.715,185.4,37.4609452,126.7149809
B000003075,인천구월서초등학교,석바위공원_37.454_126.694,225.2,37.454245,126.693651
B000003076,인천상아초등학교,용광공원_37.461_126.715,628.6,37.4609452,126.7149809
B000003077,상인천초등학교,중앙근린공원,575.0,,
B000003078,인천석정초등학교,석정공원_37.468_126.697,107.8,37.46799875,126.6971154
B000003079,인천만수북초등학교,향촌소공원_37.461_126.732,563.4,37.46118857,126.7321956
B000003080,인천동부초등학교,화교공원_37.463_126.726,147.6,37.46330391,126.7264011
B000003081,인천인수초등학교,아단공원_37.456_126.733,328.5,37.45606528,126.7328485
B000003082,인천만수초등학교,창대공원_37.448_126.737,132.2,37.44774761,126.7365758
B000003083,인천도림초등학교,오봉근린공원,40.0,37.41844881,126.7315058
B000003084,인천은봉초등학교,논현중앙공원_37.407_126.725,372.2,37.40706413,126.7249322
B000003085,인천장도초등학교,동녘어린이공원,298.0,,
B000003086,인천동방초등학교,논현공원(논현2택지)_37.402_126.720,34.6,37.40237398,126.7201366
B000003087,인천원동초등학교,돌섬공원_37.398_126.728,258.7,37.39805872,126.7281969
B000003088,인천사리울초등학교,해오름호수공원,137.0,37.38725249,126.7269798
B000003089,인천고잔초등학교,푸른공원_37.393_126.727,80.4,37.39286071,126.7267418
B000003090,인천약산초등학교,산밑말근린공원_37.466_126.711,319.0,37.4661047,126.7113059
B000003091,인천주원초등학교,웨슬리희망동산,249.0,37.4653610339648,126.699372580952
B000003092,인천송천초등학교,고잔_37.395_126.724,180.7,37.3952553,126.7243023
B000003093,인천석천초등학교,하늘공원,180.0,,
B000003094,인천신월초등학교,남동문화공원_37.447_126.725,248.3,37.44704741,126.7248703
B000003095,인천구월초등학교,만월공원_37.450_126.716,277.8,37.4498343,126.7164526
B000003096,인천소래초등학교,소래공원_37.402_126.732,342.7,37.40217569,126.7318143
B000003097,인천논현초등학교,아랫말공원_37.406_126.730,0.0,37.4056914,126.7301715
B000003098,인천논곡초등학교,논현포대공원_37.408_126.708,343.5,37.40804264,126.708025
B000003099,인천새말초등학교,향촌소공원_37.461_126.732,140.8,37.46118857,126.7321956
B000003100,인천조동초등학교,돌골공원_37.462_126.736,287.3,37.4619408,126.7364266
