학교ID,학교명,gu,case_type,is_separate_bundle_tag,green_fix_protected,green_fix_manual_ratio,osm_walk_area_m2,straight_buffer_area_m2,osm_walk_area_ratio_to_buffer,connected_residential_count,apt_added_area_m2,apt_gap_ratio,adjusted_walk_area_m2,adjusted_walk_area_ratio_to_buffer,current_walk_green_area_m2,current_walk_green_ratio,apt_added_green_area_m2,apt_added_park_count,adjusted_walk_green_area_m2,adjusted_walk_park_count,apt_adjusted_walk_green_ratio,apt_adjusted_green_delta_pp,radius_green_ratio,radius_to_walk_loss_pp,radius_to_adjusted_loss_pp,apt_permeability_flag,large_apt_count_500m,large_apt_households_500m,apt_adjustment_candidate
B000003121,인천귤현초등학교,계양구,3.0,0,0,0,210815.9586,784137.1226,0.268851,3,83821.0335,0.106724,294636.9922,0.375747,7118.7063,3.37674,1476.8218,3,8595.5281,7,2.917328,-0.459412,1.475993,-1.900746,-1.441335,1,1,715,1
B000003147,인천신현북초등학교,서구,2.0,0,0,0,256314.9461,784137.1226,0.326875,1,40037.6991,0.050978,296352.6452,0.377935,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5.773766,5.773766,5.773766,1,1,743,1
B000003116,인천길주초등학교,계양구,3.0,0,0,0,172869.1336,784137.1226,0.220458,8,186824.4957,0.237872,359693.6294,0.458713,8621.0072,4.987014,186.9067,2,8807.9139,4,2.448727,-2.538287,4.044047,-0.942967,1.59532,1,8,7370,1
B000002981,인천경원초등학교,미추홀구,2.0,0,1,0,327542.506,784137.1226,0.417711,0,0.0,0.0,327542.506,0.417711,1684.2236,0.5142,0.0,0,1684.2236,2,0.5142,0.0,0.588785,0.074585,0.074585,0,6,5331,0
B000003172,인천은지초등학교,서구,2.0,0,0,0,200526.2449,784137.1226,0.255729,6,53125.4919,0.067641,253651.7367,0.323479,1700.7138,0.848125,6.5518,1,1707.2656,2,0.673075,-0.175051,0.641699,-0.206426,-0.031375,1,0,0,1
B000003021,인천금마초등학교,부평구,2.0,0,0,0,60290.6793,784137.1226,0.076888,0,0.0,0.0,60290.6793,0.076888,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.016448,1.016448,1.016448,0,1,719,0
B000003008,인천마곡초등학교,부평구,3.0,0,0,0,109660.4878,784137.1226,0.139849,4,124128.3445,0.158045,233788.8322,0.298148,1719.0511,1.567612,4002.5631,1,5721.6142,3,2.447343,0.879731,19.408576,17.840964,16.961233,1,1,799,1
B000003071,인천성리초등학교,남동구,3.0,0,0,0,360580.9677,784137.1226,0.459844,5,61517.7987,0.078327,422098.7664,0.538297,5221.1494,1.447983,11719.4847,2,16940.6342,5,4.013429,2.565446,6.581251,5.133269,2.567822,1,3,2307,1
B000003163,인천가좌초등학교,서구,3.0,0,0,0,353486.3624,784137.1226,0.450797,9,67228.4784,0.085598,420714.8408,0.536532,16621.0511,4.702035,0.0,0,16621.0511,4,3.950669,-0.751366,3.040445,-1.66159,-0.910224,1,5,3773,1
B000002970,영화초등학교,동구,2.0,0,0,0,215955.2802,784137.1226,0.275405,1,6951.5284,0.008851,222906.8086,0.28427,1027.1482,0.47563,0.0,0,1027.1482,1,0.460797,-0.014833,0.130781,-0.344849,-0.330017,1,1,992,1
B000003026,인천동수초등학교,부평구,3.0,0,0,0,229735.5466,784137.1226,0.292979,0,0.0,0.0,229735.5466,0.292979,3163.9486,1.377213,0.0,0,3163.9486,1,1.377213,0.0,1.960903,0.583689,0.583689,0,3,1825,0
B000003149,인천봉화초등학교,서구,1.0,0,0,0,179392.7033,784137.1226,0.228777,1,4739.4735,0.006034,184132.1768,0.234821,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.70831,0.70831,0.70831,0,0,0,0
B000003039,인천백운초등학교,부평구,4.0,0,0,0,63717.8131,784137.1226,0.081259,0,0.0,0.0,63717.8131,0.081259,56183.5823,88.175629,0.0,0,56183.5823,2,88.175629,0.0,23.251068,-64.92456,-64.92456,0,5,10044,0
B000003081,인천인수초등학교,남동구,3.0,0,0,0,160623.8606,784137.1226,0.204842,4,127392.2581,0.162201,288016.1186,0.367303,4064.4497,2.530415,12011.6404,3,16076.0901,4,5.581663,3.051249,2.924639,0.394224,-2.657024,1,2,2580,1
B000003078,인천석정초등학교,남동구,3.0,0,0,0,311722.1329,784137.1226,0.397535,2,34593.1554,0.044045,346315.2883,0.441651,5602.3632,1.79723,0.0,0,5602.3632,4,1.617706,-0.179524,0.847474,-0.949756,-0.770232,1,1,1050,1
B000003162,인천가석초등학교,서구,1.0,0,0,0,122009.548,784137.1226,0.155597,0,0.0,0.0,122009.548,0.155597,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000025225,인천송빛초등학교,연수구,1.0,0,0,0,70863.8369,784137.1226,0.090372,3,229124.6813,0.291731,299988.5182,0.382572,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2.333367,2.333367,2.333367,1,2,3036,1
B000003165,인천당하초등학교,서구,3.0,0,0,0,205653.3523,784137.1226,0.262267,4,149494.5491,0.190342,355147.9014,0.452916,7350.1859,3.574066,6305.2233,3,13655.4092,3,3.844992,0.270927,4.488506,0.91444,0.643513,1,4,4848,1
B000003108,인천효성남초등학교,계양구,3.0,0,0,0,347932.9119,784137.1226,0.443714,12,90107.4998,0.114728,438040.4117,0.558627,11327.9096,3.255774,100.4414,1,11428.3511,3,2.608972,-0.646802,2.1801,-1.075674,-0.428872,1,3,3213,1
B000003118,인천양촌초등학교,계양구,3.0,0,0,0,240821.8829,784137.1226,0.307117,5,35209.8166,0.044831,276031.6994,0.35202,3919.7097,1.627639,0.0,0,3919.7097,2,1.420022,-0.207617,0.774793,-0.852845,-0.645228,1,1,546,1
B000025751,인천경연초등학교,서구,3.0,0,0,0,217518.0775,784137.1226,0.277398,3,126869.736,0.161536,344387.8135,0.439193,6920.2056,3.181439,0.0,0,6920.2056,3,2.009422,-1.172017,4.522349,1.34091,2.512927,1,2,2208,1
B000003037,인천하정초등학교,부평구,3.0,0,0,0,159475.2922,784137.1226,0.203377,2,17697.0606,0.022533,177172.3527,0.225946,6458.3938,4.049777,0.0,0,6458.3938,3,3.645261,-0.404517,2.028285,-2.021492,-1.616976,1,3,7939,1
