학교ID,학교명,gu,iso_child_total,target_2029,target_2031,predicted_2029,predicted_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,is_new_school
B000002995,영흥초등학교,옹진군,3,0.7145772862316073,0.0,0.6966116,0.0120490305,0.2381924287438691,0.0,0
B000002996,덕적초등학교,옹진군,1,0.2381924287438691,0.0,0.28051826,0.0,0.2381924287438691,0.0,0
B000002997,북포초등학교,옹진군,0,0.0,0.0,0.05844009,0.0,0.2381924287438691,0.0,0
B000002998,백령초등학교,옹진군,0,0.0,0.0,0.05844009,0.0,0.2381924287438691,0.0,0
B000002999,인천공항초등학교신도분교장,옹진군,1,0.2381924287438691,0.0,0.7326159,0.77716327,0.2381924287438691,0.0,0
B000003000,인천삼목초등학교장봉분교장,옹진군,2,0.4763848574877382,0.0,0.4778365,0.0,0.2381924287438691,0.0,0
B000003004,인천남부초등학교이작분교장,옹진군,1,0.2381924287438691,0.0,0.22312017,0.0,0.2381924287438691,0.0,0
B000003005,인천용현남초등학교자월분교장,옹진군,0,0.0,0.0,0.11551631,0.0,0.2381924287438691,0.0,0
B000003006,인천부평서초등학교,부평구,1261,1038.3020721998423,951.0836341691659,1038.4182,951.00555,0.8233957749403983,0.7542296860976732,0
B000003007,인천부곡초등학교,부평구,600,494.03746496423895,452.5378116586039,494.08197,452.60114,0.8233957749403983,0.7542296860976732,0
B000003008,인천마곡초등학교,부평구,393,323.59453955157653,296.41226663638554,323.54526,296.2867,0.8233957749403983,0.7542296860976732,0
B000003009,인천대정초등학교,부평구,418,344.17943392508647,315.2680087888274,344.19238,316.1307,0.8233957749403983,0.7542296860976732,0
B000003010,인천청천초등학교,부평구,503,414.16807479502035,379.3775321071296,413.75735,379.13275,0.8233957749403983,0.7542296860976732,0
B000003011,인천갈산초등학교,부평구,186,153.15161413891408,140.28672161416722,153.6763,140.81778,0.8233957749403983,0.7542296860976732,0
B000003012,인천후정초등학교,부평구,236,194.321402885934,177.99820591905086,194.34474,178.20364,0.8233957749403983,0.7542296860976732,0
B000003013,인천영선초등학교,부평구,881,725.4116777224909,664.47635345205,725.45703,664.2449,0.8233957749403983,0.7542296860976732,0
B000003014,인천진산초등학교,부평구,233,191.8512155611128,175.73551686075785,191.37862,175.79459,0.8233957749403983,0.7542296860976732,0
B000003015,인천구산초등학교,부평구,739,608.4894776809543,557.3757380261804,608.59406,557.41144,0.8233957749403983,0.7542296860976732,0
B000003016,인천부일초등학교,부평구,869,715.5309284232061,655.425597218878,715.7664,655.28406,0.8233957749403983,0.7542296860976732,0
B000003017,인천부내초등학교,부평구,574,472.6291748157886,432.9278398200644,472.42975,433.03296,0.8233957749403983,0.7542296860976732,0
B000003018,인천부개서초등학교,부평구,1029,847.2742524136698,776.1023469945056,846.934,775.63635,0.8233957749403983,0.7542296860976732,0
B000003019,인천부광초등학교,부평구,1451,1194.7472694385178,1094.3872745277238,1194.5775,1094.2954,0.8233957749403983,0.7542296860976732,0
B000003020,인천일신초등학교,부평구,635,522.8563170871529,478.93585067202247,522.98334,478.9529,0.8233957749403983,0.7542296860976732,0
B000003021,인천금마초등학교,부평구,59,48.5803507214835,44.499551479762715,48.685417,44.841297,0.8233957749403983,0.7542296860976732,0
B000003022,인천상정초등학교,부평구,663,545.911398785484,500.0542818827573,545.1994,499.8754,0.8233957749403983,0.7542296860976732,0
B000003023,인천부평북초등학교,부평구,553,455.3378635420402,417.0890164120133,455.60614,417.34073,0.8233957749403983,0.7542296860976732,0
B000003024,인천갈월초등학교,부평구,753,620.0170185301199,567.9349536315478,619.9379,567.7435,0.8233957749403983,0.7542296860976732,0
B000003025,인천부개초등학교,부평구,1235,1016.8937820513919,931.4736623306263,1016.7016,931.4506,0.8233957749403983,0.7542296860976732,0
B000003026,인천동수초등학교,부평구,687,565.6728973840536,518.1557943491015,566.07306,518.19495,0.8233957749403983,0.7542296860976732,0
B000003027,인천부원초등학교,부평구,783,644.7188917783319,590.5618442144781,644.6459,590.8179,0.8233957749403983,0.7542296860976732,0
B000003028,인천부흥초등학교,부평구,1670,1375.070944150465,1259.5635757831142,1374.1172,1259.3456,0.8233957749403983,0.7542296860976732,0
B000003029,인천부평동초등학교,부평구,1540,1268.0294934082133,1161.5137165904166,1267.9854,1161.1678,0.8233957749403983,0.7542296860976732,0
B000003030,인천부평남초등학교,부평구,744,612.6064565556563,561.1468864566689,612.43475,561.15985,0.8233957749403983,0.7542296860976732,0
B000003031,인천산곡북초등학교,부평구,686,564.8495016091132,517.4015646630038,564.08636,517.3158,0.8233957749403983,0.7542296860976732,0
B000003032,인천산곡초등학교,부평구,358,294.7756874286626,270.014227622967,295.13443,270.14267,0.8233957749403983,0.7542296860976732,0
B000003033,인천부마초등학교,부평구,789,649.6592664279742,595.0872223310641,649.19403,595.1631,0.8233957749403983,0.7542296860976732,0
B000003034,인천미산초등학교,부평구,569,468.51219594108665,429.15669138957605,468.83713,429.29517,0.8233957749403983,0.7542296860976732,0
B000003035,인천산곡남초등학교,부평구,439,361.47074519883483,331.10683219687854,361.74442,330.63556,0.8233957749403983,0.7542296860976732,0
B000003036,인천신촌초등학교,부평구,557,458.63144664180186,420.105935156404,459.0031,420.52563,0.8233957749403983,0.7542296860976732,0
B000003037,인천하정초등학교,부평구,411,338.4156635005037,309.9884009861437,338.3552,310.21906,0.8233957749403983,0.7542296860976732,0
B000003038,인천십정초등학교,부평구,685,564.0261058341729,516.6473349769061,563.9138,516.4318,0.8233957749403983,0.7542296860976732,0
B000003039,인천백운초등학교,부평구,473,389.4662015468084,356.7506415241994,389.80823,356.7057,0.8233957749403983,0.7542296860976732,0
B000003040,인천동암초등학교,부평구,647,532.7370663864377,487.98660690519455,532.7178,487.6948,0.8233957749403983,0.7542296860976732,0
B000003041,인천용마초등학교,부평구,722,594.4917495069676,544.55383336252,594.8559,544.5976,0.8233957749403983,0.7542296860976732,0
B000003042,인천마장초등학교,부평구,938,772.3452368940935,707.4674455596174,772.3567,706.6957,0.8233957749403983,0.7542296860976732,0
B000003043,인천개흥초등학교,부평구,1028,846.4508566387294,775.348117308408,846.5113,775.3217,0.8233957749403983,0.7542296860976732,0
B000003044,인천삼산초등학교,부평구,870,716.3543241981465,656.1798269049757,716.51514,656.0227,0.8233957749403983,0.7542296860976732,0
B000003045,인천한길초등학교,부평구,595,489.92048608953695,448.76666322811553,489.804,448.70334,0.8233957749403983,0.7542296860976732,0
B000003046,인천굴포초등학교,부평구,583,480.0397367902522,439.71590699494345,480.2409,439.81876,0.8233957749403983,0.7542296860976732,0
B000003047,한일초등학교,부평구,74,60.931287345589475,55.812996771227816,61.53083,56.449303,0.8233957749403983,0.7542296860976732,0
B000003048,인천명선초등학교,연수구,148,142.02087571971583,139.50330575526291,142.26137,139.65344,0.9596005116197016,0.9425899037517764,0
B000003049,인천축현초등학교,연수구,317,304.1933621834454,298.80099948931314,304.27386,298.90683,0.9596005116197016,0.9425899037517764,0
B000003050,인천송도초등학교,연수구,247,237.0213263700663,232.81970622668877,237.2498,233.22586,0.9596005116197016,0.9425899037517764,0
B000003051,인천능허대초등학교,연수구,1270,1218.692649757021,1197.089177764756,1217.8344,1196.3723,0.9596005116197016,0.9425899037517764,0
B000003052,인천선학초등학교,연수구,183,175.6068936264054,172.49395238657507,175.84195,173.15778,0.9596005116197016,0.9425899037517764,0
B000003053,인천중앙초등학교,연수구,210,201.51610744013735,197.94387978787304,202.03065,198.68225,0.9596005116197016,0.9425899037517764,0
B000003054,인천연화초등학교,연수구,731,701.4679739940019,689.0332196425486,700.67236,688.0916,0.9596005116197016,0.9425899037517764,0
B000003055,인천함박초등학교,연수구,665,638.1343402271016,626.8222859949313,638.18506,626.8574,0.9596005116197016,0.9425899037517764,0
B000003056,인천청학초등학교,연수구,455,436.61823278696426,428.8784062070583,436.8708,428.81967,0.9596005116197016,0.9425899037517764,0
B000003057,인천청량초등학교,연수구,565,542.1742890651315,532.5632956197537,542.24664,532.6703,0.9596005116197016,0.9425899037517764,0
B000003058,인천연성초등학교,연수구,304,291.7185555323893,286.54733074054,291.8467,286.9989,0.9596005116197016,0.9425899037517764,0
B000003059,인천동춘초등학교,연수구,475,455.81024301935827,447.7302042820938,455.4726,447.6467,0.9596005116197016,0.9425899037517764,0
B000003060,인천동막초등학교,연수구,343,329.14297548555766,323.30833698685933,329.6406,323.1795,0.9596005116197016,0.9425899037517764,0
B000003061,인천서면초등학교,연수구,429,411.668619484852,404.3710687095121,411.59308,404.33545,0.9596005116197016,0.9425899037517764,0
B000003062,인천연수초등학교,연수구,85,81.56604348767463,80.12014181890099,81.515816,79.953964,0.9596005116197016,0.9425899037517764,0
B000003063,인천문남초등학교,연수구,525,503.7902686003433,494.8596994696826,503.5368,494.3761,0.9596005116197016,0.9425899037517764,0
B000003064,인천옥련초등학교,연수구,1223,1173.591425710895,1152.7874522884226,1174.0068,1152.9541,0.9596005116197016,0.9425899037517764,0
B000003065,인천신정초등학교,연수구,1227,1177.429827757374,1156.5578119034296,1176.8625,1156.0388,0.9596005116197016,0.9425899037517764,0
B000003066,인천해송초등학교,연수구,452,433.73943125210513,426.05063649580296,433.57788,425.8893,0.9596005116197016,0.9425899037517764,0
B000003067,인천신송초등학교,연수구,240,230.3041227887284,226.22157690042633,230.20857,226.25208,0.9596005116197016,0.9425899037517764,0
B000003068,인천먼우금초등학교,연수구,535,513.3862737165404,504.2855985072004,513.1222,503.94955,0.9596005116197016,0.9425899037517764,0
B000003069,인천박문초등학교,연수구,289,277.32454785809375,272.4084821842634,277.2977,272.37897,0.9596005116197016,0.9425899037517764,0
B000003070,인천남촌초등학교,남동구,149,70.14190649777673,38.31358271472779,70.3458,38.3216,0.4707510503206492,0.2571381390250187,0
B000003071,인천성리초등학교,남동구,890,418.9684347853778,228.85294373226665,419.16888,229.03203,0.4707510503206492,0.2571381390250187,0
B000003073,인천정각초등학교,남동구,1397,657.6392172979469,359.2219802179511,656.6338,358.68127,0.4707510503206492,0.2571381390250187,0
B000003074,인천간석초등학교,남동구,1279,602.0905933601103,328.8796798129989,602.537,329.13293,0.4707510503206492,0.2571381390250187,0
B000003075,인천구월서초등학교,남동구,716,337.05775202958483,184.11090754191338,337.1682,183.9525,0.4707510503206492,0.2571381390250187,0
B000003076,인천상아초등학교,남동구,625,294.21940645040576,160.7113368906367,294.0017,160.49014,0.4707510503206492,0.2571381390250187,0
