학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000025690,인천별빛초등학교,exact_edge_trim_v3,48.3,50,4857.3,1,178866,0.2277,187224,285366,0.955,0.627
B000003038,인천십정초등학교,exact_edge_trim_v3,14.3,84,9103.5,1,439465,0.5595,325594,460261,1.35,0.955
B000003117,인천병방초등학교,exact_edge_trim_v3,15.9,166,11896.6,1,478555,0.6093,342439,544445,1.397,0.879
B000002994,대청초등학교,exact_edge_trim_v3,35.8,11,2638.5,1,164418,0.2093,16688,196862,9.852,0.835
B000025752,인천도담초등학교,exact_edge_trim_v3,42.6,196,13735.1,1,355842,0.4531,325635,396946,1.093,0.896
B000003135,인천공촌초등학교,exact_edge_trim_v3,10.1,41,4604.6,1,226990,0.289,222071,242645,1.022,0.935
B000003049,인천축현초등학교,exact_edge_trim_v3,59.8,63,5471.2,1,245094,0.3121,230205,331250,1.065,0.74
B000002998,백령초등학교,exact_edge_trim_v3,39.3,25,3086.3,1,170137,0.2166,16688,226921,10.195,0.75
B000003180,합일초등학교,exact_edge_trim_v3,10.8,131,10455.4,1,431355,0.5492,784137,497984,0.55,0.866
B000002949,인천신흥초등학교,exact_edge_trim_v3,39.9,98,9369.6,1,407699,0.5191,335199,548640,1.216,0.743
B000002983,인천남부초등학교,exact_edge_trim_v3,10.0,185,14345.7,1,488143,0.6215,395986,536304,1.233,0.91
B000003061,인천서면초등학교,exact_edge_trim_v3,46.3,81,4870.0,1,168702,0.2148,183198,239160,0.921,0.705
B000003129,인천작동초등학교,exact_edge_trim_v3,8.7,126,11315.8,1,400369,0.5098,299018,436274,1.339,0.918
B000002951,인천신선초등학교,exact_edge_trim_v3,96.5,14,2191.4,1,133686,0.1702,142049,294915,0.941,0.453
B000002952,인천송월초등학교,exact_edge_trim_v3,65.6,46,3952.4,1,175052,0.2229,186128,245400,0.94,0.713
B000003086,인천동방초등학교,exact_edge_trim_v3,63.3,45,5162.0,1,253097,0.3223,256765,339271,0.986,0.746
B000003010,인천청천초등학교,exact_edge_trim_v3,5.6,38,6188.5,1,389522,0.496,201230,403390,1.936,0.966
B000003006,인천부평서초등학교,exact_edge_trim_v3,12.1,184,13305.5,1,473759,0.6032,411389,478648,1.152,0.99
B000002999,인천공항초등학교신도분교장,exact_edge_trim_v3,23.8,16,2586.7,1,154983,0.1973,65973,174779,2.349,0.887
B000003031,인천산곡북초등학교,exact_edge_trim_v3,17.1,43,4361.2,1,252440,0.3214,147949,263832,1.706,0.957
B000003126,인천부현초등학교,exact_edge_trim_v3,8.8,116,10118.1,1,377316,0.4804,235004,457775,1.606,0.824
B000003050,인천송도초등학교,exact_edge_trim_v3,41.5,94,7214.7,1,305812,0.3894,256129,406111,1.194,0.753
B000003053,인천중앙초등학교,exact_edge_trim_v3,43.8,50,2997.1,1,144701,0.1842,110273,228227,1.312,0.634
B000002985,인천서화초등학교,exact_edge_trim_v3,54.3,170,12400.2,1,364756,0.4644,306662,478566,1.189,0.762
B000003125,인천부평초등학교,exact_edge_trim_v3,12.8,137,11817.0,1,467925,0.5958,390858,525273,1.197,0.891
B000003121,인천귤현초등학교,exact_edge_trim_v3,44.2,43,5067.8,1,212144,0.2701,210816,249172,1.006,0.851
B000003147,인천신현북초등학교,exact_edge_trim_v3,23.2,91,7966.7,1,354319,0.4511,256315,392170,1.382,0.903
B000003116,인천길주초등학교,exact_edge_trim_v3,28.4,83,6548.5,1,260500,0.3317,172869,327528,1.507,0.795
B000002981,인천경원초등학교,exact_edge_trim_v3,77.7,53,5963.5,1,325938,0.415,327543,518884,0.995,0.628
B000003172,인천은지초등학교,exact_edge_trim_v3,39.9,43,6210.5,1,313979,0.3998,200526,335837,1.566,0.935
B000003021,인천금마초등학교,exact_edge_trim_v3,47.5,9,1681.5,1,114631,0.146,60291,86586,1.901,1.324
B000003008,인천마곡초등학교,exact_edge_trim_v3,35.2,29,3118.5,1,170697,0.2173,109660,152002,1.557,1.123
B000003071,인천성리초등학교,exact_edge_trim_v3,68.8,96,8549.7,1,341693,0.4351,360581,526499,0.948,0.649
B000003163,인천가좌초등학교,exact_edge_trim_v3,23.8,168,13048.4,1,465105,0.5922,353486,546326,1.316,0.851
B000002970,영화초등학교,exact_edge_trim_v3,81.6,83,6500.3,1,193222,0.246,215955,304473,0.895,0.635
B000003026,인천동수초등학교,exact_edge_trim_v3,37.3,81,6606.2,1,295448,0.3762,229736,360018,1.286,0.821
B000003149,인천봉화초등학교,exact_edge_trim_v3,57.7,17,4028.0,1,289258,0.3683,179393,420609,1.612,0.688
B000003039,인천백운초등학교,exact_edge_trim_v3,52.9,12,2194.6,1,142101,0.1809,63718,220096,2.23,0.646
B000003081,인천인수초등학교,exact_edge_trim_v3,24.1,91,5273.8,1,239351,0.3048,160624,316846,1.49,0.755
B000003078,인천석정초등학교,exact_edge_trim_v3,5.9,60,7172.1,1,383372,0.4881,311722,421914,1.23,0.909
B000003162,인천가석초등학교,exact_edge_trim_v3,56.2,29,2974.4,1,149572,0.1904,122010,217230,1.226,0.689
