학교ID,학교명,gu,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,trend_score,priority_rank,student_slope,is_new_school,cohort_change_2029,cohort_change_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,nearest_park_dist_m,case_label,is_island_tag,is_walk_fallback_tag,iso_park_count,iso_park_area,buf_park_count,buf_park_area,access_ratio,iso_green_ratio,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,iso_green_ratio_raw
B000002991,인천인주초등학교,미추홀구,741,442,Q4,2.485294117647059,2.514705882352941,45218.47352941177,-35161.57352941177,3,2.0,0,0,1,예정만,,,-66.77142857142857,0,1.1,1.157,0.90451993467452,0.8662626373940179,222.5,"접근 가능, 중간 수준",0,0,5,10040.752571318759,6,11556.9,0.8333333333333334,2.025409883158594,0,0,0,0,495739.28984983364,5,10040.752571318759,middle,2.025409883158594
B000002992,인천연학초등학교,미추홀구,758,438,Q4,2.485294117647059,2.514705882352941,45218.47352941177,40051.52647058823,4,1.0,0,0,1,예정만,,,32.57142857142857,0,1.1,1.157,0.90451993467452,0.8662626373940179,121.4,접근 양호,0,0,5,64130.961463617045,7,88274.0,0.7142857142857143,12.97095198941403,0,0,0,0,494419.8507245743,5,64130.961463617045,high,12.97095198941403
B000002993,연평초등학교,옹진군,7,3,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-5.342857142857143,0,0.88,0.84,0.2381924287438691,0.0,16479.1,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,201678.90945427254,0,0.0,,0.0
B000002994,대청초등학교,옹진군,0,0,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-4.542857142857143,0,0.88,0.84,0.2381924287438691,0.0,16479.1,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,196861.50565426532,0,0.0,,0.0
B000002995,영흥초등학교,옹진군,3,2,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-15.45714285714286,0,0.88,0.84,0.2381924287438691,0.0,19637.4,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,196402.2808944497,0,0.0,,0.0
B000002996,덕적초등학교,옹진군,1,1,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-3.1428571428571423,0,0.88,0.84,0.2381924287438691,0.0,18983.5,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,172924.8967510371,0,0.0,,0.0
B000002997,북포초등학교,옹진군,0,0,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-9.142857142857144,0,0.88,0.84,0.2381924287438691,0.0,16479.1,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,227096.68383771944,0,0.0,,0.0
B000002998,백령초등학교,옹진군,0,0,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-5.885714285714286,0,0.88,0.84,0.2381924287438691,0.0,16479.1,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,226921.08008916277,0,0.0,,0.0
B000002999,인천공항초등학교신도분교장,옹진군,1,1,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-1.2285714285714286,0,0.88,0.84,0.2381924287438691,0.0,6831.7,별도 묶음,1,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,174778.690016182,0,0.0,,0.0
B000003000,인천삼목초등학교장봉분교장,옹진군,2,2,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,,,0,0,0,없음,,,-1.9142857142857144,0,0.88,0.84,0.2381924287438691,0.0,16196.8,별도 묶음,1,1,0,0.0,0,0.0,0.0,0.0,0,1,0,0,343286.20987689367,0,0.0,,0.0
