grid_id,cx,cy,gu,gu_assignment_method,linked_schools,linked_school_count,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,candidate_total_pop_current,candidate_child_current,gu_predicted_2029,gu_predicted_2031,actual_2025,gu_growth_factor_2029,gu_growth_factor_2031,legacy_forecast_2029,legacy_forecast_2031,legacy_xgb_predicted_2029,legacy_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,demand_label,demand_note,demand_model_version
CG_01211,126.72039575385183,37.49590371697821,부평구,linked_school_majority,"['인천부평동초등학교', '인천부평서초등학교']",2,2.0,0.435,0.0,356.5,medium,125.6,293,2009.317,151.332,31630,28973,36723,0.8613130735506358,0.7889605969011246,1289,1169,1289,1169,130,119,130,119,296.5,3980.7,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01240,126.72264575385184,37.49590371697821,부평구,linked_school_majority,"['인천부평동초등학교', '인천부평서초등학교']",2,2.0,0.435,0.0,356.5,medium,28.2,1155,452.197,34.173,31630,28973,36723,0.8613130735506358,0.7889605969011246,1289,1169,1289,1169,29,27,29,27,472.3,4156.5,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01274,126.72489575385184,37.49815371697821,부평구,linked_school_majority,"['인천부평동초등학교', '인천부평서초등학교']",2,2.0,0.435,0.0,356.5,medium,104.4,383,1662.414,125.63,31630,28973,36723,0.8613130735506358,0.7889605969011246,1289,1169,1289,1169,108,99,108,99,701.5,4223.7,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01061,126.70914575385181,37.50940371697819,부평구,linked_school_majority,"['인천부마초등학교', '인천마장초등학교']",2,1.0,0.0,0.0,820.55,high,8.4,1407,89.399,6.914,31630,28973,36723,0.8613130735506358,0.7889605969011246,913,796,913,796,6,5,6,5,1183.8,5198.9,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01026,126.70689575385181,37.50940371697819,부평구,linked_school_majority,"['인천부마초등학교', '인천마장초등학교']",2,1.0,0.0,0.0,820.55,high,1.5,1511,8.282,0.732,31630,28973,36723,0.8613130735506358,0.7889605969011246,913,796,913,796,1,1,1,1,783.0,5233.1,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01430,126.73389575385185,37.53190371697816,계양구,linked_school_majority,"['인천화전초등학교', '인천작동초등학교', '인천부현초등학교']",3,2.0,0.542,0.0,404.0,medium,22.8,1228,691.856,43.192,10615,7314,17382,0.6106892187320216,0.4207801173627891,922,713,922,713,26,18,26,18,477.7,7789.9,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00522,126.66864575385175,37.51840371697818,서구,linked_school_majority,"['인천신현초등학교', '인천가현초등학교', '인천신현북초등학교']",3,2.0,0.065,0.333,451.667,medium,85.8,517,1213.354,80.622,78265,79926,74390,1.0520903347224089,1.0744186046511628,2602,2574,2602,2574,85,87,85,87,587.1,6862.2,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00489,126.66639575385175,37.51840371697818,서구,linked_school_majority,"['인천신현초등학교', '인천가현초등학교', '인천신현북초등학교']",3,2.0,0.065,0.333,451.667,medium,65.4,695,884.054,61.7,78265,79926,74390,1.0520903347224089,1.0744186046511628,2602,2574,2602,2574,65,66,65,66,512.9,6857.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01418,126.73389575385185,37.493653716978216,부평구,linked_school_majority,"['인천부개서초등학교', '인천부흥초등학교']",2,2.0,0.676,0.0,369.45,medium,109.4,360,1643.768,131.737,31630,28973,36723,0.8613130735506358,0.7889605969011246,2176,2166,2176,2166,113,104,113,104,229.9,3755.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01375,126.73164575385185,37.493653716978216,부평구,linked_school_majority,"['인천부개서초등학교', '인천부흥초등학교']",2,2.0,0.676,0.0,369.45,medium,204.2,141,3084.789,245.51,31630,28973,36723,0.8613130735506358,0.7889605969011246,2176,2166,2176,2166,211,194,211,194,303.9,3667.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
