grid_id,cx,cy,linked_school_count,forecast_2029_x,forecast_2031_x,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029_x,xgb_predicted_2031_x,forecast_2029_y,forecast_2031_y,xgb_predicted_2029_y,xgb_predicted_2031_y,original_forecast_2029,original_forecast_2031,original_xgb_predicted_2029,original_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,linked_schools
CG_01069,126.7091457538518,37.58365371697808,1,328,320,3.0,1.736,0.0,175.0,low,324.8,917,638,545,1624,1547,1624,1547,,,,,1624,1547,1624,1547,0.0,15359.4,['인천해든초등학교']
CG_01515,126.74064575385188,37.441903716978295,1,316,308,3.0,4.183,0.0,36.5,low,312.8,918,192,93,149,122,149,122,,,,,149,122,149,122,1174.7,1903.2,['인천남동초등학교']
CG_01483,126.73839575385186,37.441903716978295,1,316,308,3.0,4.183,0.0,36.5,low,312.8,919,192,93,149,122,149,122,,,,,149,122,149,122,460.0,1604.0,['인천남동초등학교']
CG_01542,126.74289575385188,37.44415371697829,1,316,308,3.0,4.183,0.0,36.5,low,312.8,920,181,99,149,122,149,122,,,,,149,122,149,122,305.0,1570.8,['인천남동초등학교']
CG_01543,126.74289575385188,37.44640371697829,1,316,308,3.0,4.183,0.0,36.5,low,312.8,921,181,99,149,122,149,122,,,,,149,122,149,122,111.0,1308.8,['인천남동초등학교']
CG_01516,126.74064575385188,37.44415371697829,1,316,308,3.0,4.183,0.0,36.5,low,312.8,922,192,118,149,122,149,122,,,,,149,122,149,122,172.2,1438.0,['인천남동초등학교']
CG_00686,126.67764575385176,37.5049037169782,2,208,208,1.0,0.0,0.0,806.5,high,312.0,923,179,273,333,239,333,239,,,,,333,239,333,239,535.5,5037.5,"['인천석남초등학교', '인천천마초등학교']"
CG_00721,126.67989575385177,37.5049037169782,2,208,208,1.0,0.0,0.0,806.5,high,312.0,924,111,204,333,239,333,239,,,,,333,239,333,239,602.7,5104.7,"['인천석남초등학교', '인천천마초등학교']"
CG_00725,126.67989575385177,37.51390371697818,2,208,208,1.0,0.0,0.0,1166.65,high,312.0,925,169,180,384,264,384,264,,,,,384,264,384,264,1291.8,6053.8,"['인천석남초등학교', '인천가석초등학교']"
CG_00690,126.67764575385176,37.51390371697818,2,208,208,1.0,0.0,0.0,1166.65,high,312.0,926,237,326,384,264,384,264,,,,,384,264,384,264,1515.7,6017.7,"['인천석남초등학교', '인천가석초등학교']"
CG_00795,126.68664575385178,37.4396537169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,927,328,367,400,332,400,332,,,,,400,332,400,332,243.3,2244.5,['인천문학초등학교']
CG_00794,126.68664575385178,37.4374037169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,928,328,367,400,332,400,332,,,,,400,332,400,332,141.3,1992.8,['인천문학초등학교']
CG_00736,126.68214575385176,37.43515371697831,1,303,320,3.0,2.571,0.0,241.4,low,309.8,929,318,383,400,332,400,332,,,,,400,332,400,332,308.9,1866.3,['인천문학초등학교']
CG_00504,126.66864575385176,37.41265371697834,1,313,305,3.0,1.129,0.0,388.2,low,309.8,930,509,482,517,471,517,471,,,,,517,471,517,471,627.0,684.4,['인천동춘초등학교']
CG_00503,126.66864575385176,37.41040371697834,1,313,305,3.0,1.129,0.0,388.2,low,309.8,931,512,431,517,471,517,471,,,,,517,471,517,471,416.4,758.3,['인천동춘초등학교']
CG_00770,126.68439575385176,37.4396537169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,932,340,372,400,332,400,332,,,,,400,332,400,332,61.6,2199.9,['인천문학초등학교']
CG_00703,126.67989575385177,37.4374037169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,933,355,366,400,332,400,332,,,,,400,332,400,332,106.4,2190.8,['인천문학초등학교']
CG_00737,126.68214575385176,37.4374037169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,934,363,383,400,332,400,332,,,,,400,332,400,332,203.5,2005.5,['인천문학초등학교']
CG_00739,126.68214575385176,37.441903716978295,1,303,320,3.0,2.571,0.0,241.4,low,309.8,935,470,393,400,332,400,332,,,,,400,332,400,332,453.0,2846.4,['인천문학초등학교']
CG_00738,126.68214575385176,37.4396537169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,936,363,383,400,332,400,332,,,,,400,332,400,332,241.4,2320.9,['인천문학초등학교']
CG_00704,126.67989575385177,37.4396537169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,937,355,366,400,332,400,332,,,,,400,332,400,332,0.0,2393.4,['인천문학초등학교']
CG_00740,126.68214575385176,37.44415371697829,1,303,320,3.0,2.571,0.0,241.4,low,309.8,938,470,418,400,332,400,332,,,,,400,332,400,332,517.9,2766.0,['인천문학초등학교']
CG_00472,126.66639575385176,37.41040371697834,1,313,305,3.0,1.129,0.0,388.2,low,309.8,939,454,366,517,471,517,471,,,,,517,471,517,471,455.5,797.4,['인천동춘초등학교']
CG_00471,126.66639575385176,37.40815371697835,1,313,305,3.0,1.129,0.0,388.2,low,309.8,940,436,333,517,471,517,471,,,,,517,471,517,471,354.8,723.5,['인천동춘초등학교']
CG_00769,126.68439575385176,37.4374037169783,1,303,320,3.0,2.571,0.0,241.4,low,309.8,941,340,372,400,332,400,332,,,,,400,332,400,332,165.9,1967.9,['인천문학초등학교']
CG_00768,126.68439575385176,37.43515371697831,1,303,320,3.0,2.571,0.0,241.4,low,309.8,942,295,372,400,332,400,332,,,,,400,332,400,332,128.7,1677.4,['인천문학초등학교']
CG_00470,126.66639575385176,37.40590371697835,1,313,305,3.0,1.129,0.0,388.2,low,309.8,943,452,333,517,471,517,471,,,,,517,471,517,471,52.4,52.4,['인천동춘초등학교']
CG_00473,126.66639575385176,37.41265371697834,1,313,305,3.0,1.129,0.0,388.2,low,309.8,944,451,417,517,471,517,471,,,,,517,471,517,471,766.3,839.0,['인천동춘초등학교']
CG_01226,126.72264575385184,37.403653716978354,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,945,146,125,235,114,235,114,,,,,235,114,235,114,257.4,666.4,['인천동방초등학교']
CG_01160,126.71814575385184,37.40140371697836,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,946,109,123,235,114,235,114,,,,,235,114,235,114,0.0,1152.6,['인천동방초등학교']
CG_01196,126.72039575385185,37.40590371697835,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,947,147,123,235,114,235,114,,,,,235,114,235,114,185.5,764.4,['인천동방초등학교']
CG_01130,126.71589575385184,37.40590371697835,1,309,301,2.0,0.873,0.0,34.6,medium,305.8,948,110,123,235,114,235,114,,,,,235,114,235,114,529.3,1035.5,['인천동방초등학교']
