구명,구역명,위치,면적,사업유형,진행단계,출처,위도,경도
남동구,만수동 5-19,만수동 5-19,1948.0,소규모재건축,건축심의완료,소규모정비,37.4658265207642,126.73604423763
남동구,성신아파트,만수동 5-6,6360.0,소규모재건축,건축심의완료,소규모정비,37.4648010059069,126.735687483353
남동구,삼부아파트,만수동 5-305 외 3필지,9392.0,소규모재건축,건축심의완료,소규모정비,,
남동구,성신아파트3차,만수동 5-373번지,6880.0,소규모재건축,건축심의완료,소규모정비,37.4651491340759,126.735154645785
남동구,구월,구월동 6-11 외 7필지,4614.9,가로주택,조합설립인가,소규모정비,,
남동구,보흥빌라주변,간석동 551-1 일원,3750.8,가로주택,조합설립인가,소규모정비,37.461354947059,126.70000170027
남동구,대양빌라,논현동 111-226외18필지,6751.0,가로주택,조합설립인가,소규모정비,,
남동구,간석동 한국아파트,간석동 393-1 외 3필지,5014.7,가로주택,조합설립인가,소규모정비,,
남동구,은하아파트,간석동 292-1,2747.1,가로주택,조합설립인가,소규모정비,37.4574473380614,126.707613954397
남동구,간석신한아파트,간석동 32-5번지 일원,7913.0,가로주택,조합설립인가,소규모정비,37.4674570421423,126.714594545261
남동구,한국공영아파트B동,만수동 5-292번지 일원,1481.0,가로주택,조합설립인가,소규모정비,37.4636704033511,126.73551908565
남동구,미림,만수동 893-4번지 일원,1306.7,가로주택,조합설립인가,소규모정비,37.4582604181461,126.72717237669
부평구,갈산백조아파트,"갈산동 181-11,13",4453.2,소규모재건축,착공,소규모정비,37.5154132413602,126.721945422138
부평구,창휘연립,부평동 767-1,5281.9,소규모재건축,착공,소규모정비,37.4855335927124,126.7121112384
부평구,은하함벽빌라,"산곡동 250-1,250-4,251-75,247-1",4487.0,소규모재건축,사업시행계획인가,소규모정비,,
부평구,효성아파트,청천동 377번지 일원,4502.8,소규모재건축,사업시행계획인가,소규모정비,37.5224031583738,126.695093711026
부평구,십정동 국민주택,십정동 179-26번지 외 51,6787.0,가로주택,사업시행계획인가,소규모정비,37.4843499020825,126.71117202138
부평구,경인빌라 주변구역,십정동 571-21번지 일원,6353.1,가로주택,건축심의완료,소규모정비,37.481481894034,126.711202055594
부평구,명보궁전,산곡동 234-34번지 외 9,3757.0,가로주택,건축심의완료,소규모정비,37.4978203922805,126.705127044966
부평구,영진빌라,삼산동 74-10일원,1775.0,가로주택,건축심의완료,소규모정비,37.5197735281702,126.738302784494
부평구,부흥연립,부평동 12-53번지 일원,5549.0,가로주택,건축심의완료,소규모정비,37.5028775360943,126.729287587066
부평구,청천동 동양아파트,청천동 397번지 일원,6797.4,가로주택,건축심의완료,소규모정비,37.5199749215734,126.708166163538
부평구,갈산동 183-1번지 일원,"갈산동 183, 183-1, 183-4",9244.7,소규모재건축,건축심의완료,소규모정비,,
부평구,애향공원,십정동 570번지 외 23,3158.6,가로주택,조합설립인가,소규모정비,37.4821057073474,126.710816034342
부평구,삼산동 금성유성빌라,삼산동 76-7번지 일원,3505.6,가로주택,조합설립인가,소규모정비,37.5196880527347,126.740562409263
부평구,삼산동 257 일원,삼산동 257-22번지일원,7693.25,가로주택,조합설립인가,소규모정비,37.5184423518333,126.734892087749
부평구,부개동 155의5일원,부개동 155-5 외 13필지,3226.0,가로주택,조합설립인가,소규모정비,,
