관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28110-00002,은골공원,근린공원,37.49639537,126.4917102,392000.0,중구,인천삼목초등학교,531.86
28110-00001,씨사이드파크,근린공원,37.481753,126.5658118,1774603.0,중구,인천영종초등학교,1315.48
28185-00012,랜드마크시티 1호 수변공원,수변공원,37.41225764,126.6101271,77873.0,연수구,인천미송초등학교,396.58
28185-00011,랜드마크시티 3호 수변공원,수변공원,37.38350683,126.6182251,60158.0,연수구,인천송빛초등학교,537.15
28185-00010,랜드마크시티3호 근린공원,근린공원,37.40830622,126.6208503,57723.0,연수구,인천송담초등학교,562.45
28185-00008,글로벌파크,근린공원,37.37627624,126.6594134,194746.9,연수구,인천송명초등학교,356.06
28185-00007,솔찬공원,근린공원,37.36667165,126.6385425,197430.95,연수구,인천첨단초등학교,1623.38
28185-00006,달빛공원,근린공원,37.39543995,126.6593123,1033030.0,연수구,인천먼우금초등학교,511.83
28185-00005,신송공원,근린공원,37.39049262,126.6584198,38919.9,연수구,인천신송초등학교,59.86
28185-00004,새아침공원,근린공원,37.39613488,126.6561184,102024.0,연수구,인천먼우금초등학교,357.44
28185-00003,미추홀공원,근린공원,37.38238888,126.6494992,160093.5,연수구,인천해송초등학교,165.2
28185-00002,해돋이공원,근린공원,37.3885069,126.6547092,209509.2,연수구,인천신송초등학교,360.25
28185-00001,센트럴파크,근린공원,37.39226675,126.636342,351113.9,연수구,인천예송초등학교,754.94
28237-00021,부들공원,근린공원,37.5152706,126.7485482,12199.0,부평구,인천한길초등학교,502.76
28200-00122,해오름공원,근린공원,37.38725249,126.7269798,34712.0,남동구,인천사리울초등학교,334.45
28200-00121,하늬공원,근린공원,37.39754685,126.7325644,10633.0,남동구,인천원동초등학교,167.52
28200-00120,한아름공원,근린공원,37.39575224,126.7284965,34712.0,남동구,인천원동초등학교,244.59
28200-00119,늘솔길공원,근린공원,37.39444172,126.7208398,561641.0,남동구,인천송천초등학교,194.04
28200-00118,바람공원,어린이공원,37.39405618,126.7228194,8511.0,남동구,인천송천초등학교,153.51
28200-00117,모험공원,어린이공원,37.39601681,126.7238383,1531.0,남동구,인천송천초등학교,123.96
28200-00116,돌섬공원,어린이공원,37.39805872,126.7281969,3231.0,남동구,인천원동초등학교,268.48
28200-00115,물방울공원,어린이공원,37.39741006,126.7290785,1689.0,남동구,인천원동초등학교,167.42
28200-00114,별빛공원,어린이공원,37.39389107,126.7288965,1591.0,남동구,인천고잔초등학교,112.5
28200-00113,섬꽃공원,어린이공원,37.39995792,126.7110919,1513.0,남동구,인천동방초등학교,828.9
28200-00112,푸른공원,어린이공원,37.39286071,126.7267418,1923.0,남동구,인천고잔초등학교,158.8
28200-00111,꿈꾸는공원,어린이공원,37.38514449,126.7213891,1571.0,남동구,인천사리울초등학교,427.95
28200-00110,도림1지구공원,어린이공원,37.42466977,126.7320568,1500.0,남동구,인천도림초등학교,625.23
28200-00109,경신지구공원,어린이공원,37.44358145,126.7249032,1500.0,남동구,인천신월초등학교,501.13
28200-00108,하늘공원,어린이공원,37.45715432,126.7101596,1519.0,남동구,인천상아초등학교,175.2
28200-00107,향촌소공원,소공원,37.46118857,126.7321956,1237.0,남동구,인천새말초등학교,207.69
28200-00106,비선거리공원,어린이공원,37.4609039,126.6977135,119.0,남동구,인천경원초등학교,179.5
28200-00105,만부2호공원,어린이공원,37.46633407,126.7387333,308.0,남동구,인천조동초등학교,625.94
28200-00104,만부1호공원,어린이공원,37.46612975,126.7385544,721.0,남동구,인천조동초등학교,606.09
28200-00103,신촌공원,어린이공원,37.44741294,126.7323582,818.0,남동구,인천만수초등학교,214.89
28200-00102,하촌은행나무공원,어린이공원,37.4285039,126.7136059,258.0,남동구,인천남촌초등학교,144.78
