candidate_id,excluded_by_school,exclude_reason,matched_inst_name,matched_inst_type,matched_distance_m,polygon_used,radius_rule_applied
CG_01459,False,,,,,False,
CG_01532,False,,,,,False,
CG_01420,False,,,,,False,
CG_01559,False,,,,,False,
CG_01498,False,,,,,False,
CG_01419,False,,,,,False,
CG_01083,False,,,,,False,
CG_01084,False,,,,,False,
CG_01127,False,,,,,False,
CG_01128,False,,,,,False,
CG_01446,False,,,,,False,
CG_01406,False,,,,,False,
CG_01484,False,,,,,False,
CG_01447,False,,,,,False,
CG_01407,False,,,,,False,
CG_01485,True,inside_polygon_buffer,소래초등학교,학교,6.1,True,
CG_01564,False,,,,,False,
CG_01538,False,,,,,False,
CG_01535,False,,,,,False,
CG_01581,False,,,,,False,
CG_01582,False,,,,,False,
CG_01562,False,,,,,False,
CG_01561,False,,,,,False,
CG_01563,False,,,,,False,
CG_00488,False,,,,,False,
CG_00487,False,,,,,False,
CG_00619,False,,,,,False,
CG_00456,False,,,,,False,
CG_00620,False,,,,,False,
CG_00527,False,,,,,False,
CG_00575,False,,,,,False,
CG_00577,False,,,,,False,
CG_00576,False,,,,,False,
CG_00526,False,,,,,False,
CG_00437,False,,,,,False,
CG_00439,False,,,,,False,
CG_00438,False,,,,,False,
CG_01199,False,,,,,False,
CG_01231,False,,,,,False,
CG_00712,False,,,,,False,
CG_00711,False,,,,,False,
CG_00436,False,,,,,False,
CG_01202,False,,,,,False,
CG_00435,False,,,,,False,
CG_01233,False,,,,,False,
CG_00424,False,,,,,False,
CG_00423,False,,,,,False,
CG_00751,False,,,,,False,
CG_00750,False,,,,,False,
CG_00785,False,,,,,False,
CG_00749,False,,,,,False,
CG_00784,False,,,,,False,
CG_00709,False,,,,,False,
CG_01234,False,,,,,False,
CG_01232,False,,,,,False,
CG_00710,False,,,,,False,
CG_01200,False,,,,,False,
CG_01201,False,,,,,False,
CG_00666,False,,,,,False,
CG_00665,False,,,,,False,
CG_00667,False,,,,,False,
CG_00529,False,,,,,False,
CG_00459,False,,,,,False,
CG_00528,False,,,,,False,
CG_00489,False,,,,,False,
CG_00530,True,inside_polygon_buffer,루원중학교,학교,4.5,True,
CG_00752,False,,,,,False,
CG_01177,False,,,,,False,
CG_00490,False,,,,,False,
CG_00668,False,,,,,False,
CG_00491,False,,,,,False,
CG_00457,False,,,,,False,
CG_00454,False,,,,,False,
CG_00458,False,,,,,False,
CG_00621,False,,,,,False,
CG_00622,False,,,,,False,
CG_01576,False,,,,,False,
CG_01575,False,,,,,False,
CG_01596,False,,,,,False,
CG_01577,False,,,,,False,
CG_01036,False,,,,,False,
CG_01034,False,,,,,False,
CG_01000,False,,,,,False,
CG_01037,False,,,,,False,
CG_01035,False,,,,,False,
CG_01114,False,,,,,False,
CG_01111,False,,,,,False,
CG_01112,False,,,,,False,
CG_01113,False,,,,,False,
CG_01069,False,,,,,False,
CG_01070,False,,,,,False,
CG_01067,False,,,,,False,
CG_01068,True,inside_polygon,동암초등학교,학교,0.0,True,
CG_01302,False,,,,,False,
CG_01305,False,,,,,False,
CG_01333,False,,,,,False,
CG_01332,False,,,,,False,
CG_00278,False,,,,,False,
CG_00293,True,inside_polygon,동산중고등학교,학교,0.0,True,
CG_00294,False,,,,,False,
CG_01394,False,,,,,False,
CG_01434,False,,,,,False,
CG_01432,False,,,,,False,
CG_01470,False,,,,,False,
CG_01473,False,,,,,False,
CG_01395,False,,,,,False,
CG_01433,False,,,,,False,
CG_00647,False,,,,,False,
CG_00687,False,,,,,False,
CG_00646,False,,,,,False,
CG_00603,False,,,,,False,
CG_00553,False,,,,,False,
CG_00604,False,,,,,False,
CG_00689,False,,,,,False,
CG_00688,False,,,,,False,
CG_01602,False,,,,,False,
CG_01603,False,,,,,False,
CG_01586,True,inside_polygon,임학중학교,학교,0.0,True,
CG_01585,False,,,,,False,
CG_01565,False,,,,,False,
CG_00942,False,,,,,False,
CG_00973,False,,,,,False,
CG_00909,False,,,,,False,
CG_00974,False,,,,,False,
CG_01003,False,,,,,False,
CG_00886,False,,,,,False,
CG_00972,False,,,,,False,
CG_00941,False,,,,,False,
CG_00908,False,,,,,False,
CG_00887,False,,,,,False,
CG_01418,False,,,,,False,
CG_01416,False,,,,,False,
CG_01417,False,,,,,False,
CG_01415,False,,,,,False,
CG_01457,False,,,,,False,
CG_01382,False,,,,,False,
CG_01381,False,,,,,False,
CG_01455,False,,,,,False,
CG_01614,False,,,,,False,
CG_01635,False,,,,,False,
CG_00552,False,,,,,False,
CG_00602,False,,,,,False,
CG_00876,False,,,,,False,
CG_00875,False,,,,,False,
CG_00878,False,,,,,False,
CG_00877,False,,,,,False,
CG_00644,False,,,,,False,
CG_00856,False,,,,,False,
CG_00854,True,within_point_radius,관교중학교,중학교,33.7,False,50m_school
CG_00855,False,,,,,False,
CG_00857,False,,,,,False,
CG_00686,False,,,,,False,
CG_00645,False,,,,,False,
CG_00900,False,,,,,False,
CG_00840,False,,,,,False,
CG_00839,False,,,,,False,
CG_00933,False,,,,,False,
CG_00899,False,,,,,False,
CG_00898,False,,,,,False,
CG_01194,False,,,,,False,
CG_01193,False,,,,,False,
CG_01165,False,,,,,False,
CG_01218,False,,,,,False,
CG_01317,False,,,,,False,
CG_01348,False,,,,,False,
CG_01347,False,,,,,False,
CG_01250,False,,,,,False,
CG_01216,False,,,,,False,
CG_01217,False,,,,,False,
CG_01251,False,,,,,False,
CG_01289,False,,,,,False,
CG_01288,False,,,,,False,
CG_01287,True,inside_polygon_buffer,인천동수중학교,학교,4.6,True,
CG_01252,False,,,,,False,
CG_01318,False,,,,,False,
CG_01319,False,,,,,False,
CG_01052,False,,,,,False,
CG_01051,False,,,,,False,
CG_00151,False,,,,,False,
CG_00135,True,inside_polygon,인천과학예술영재학교,학교,0.0,True,
CG_00188,False,,,,,False,
CG_00187,False,,,,,False,
CG_00169,False,,,,,False,
CG_00167,False,,,,,False,
CG_00168,True,inside_polygon,송일초등학교,학교,0.0,True,
CG_00150,False,,,,,False,
CG_00136,False,,,,,False,
CG_01487,False,,,,,False,
CG_01048,False,,,,,False,
CG_01047,True,inside_polygon_buffer,청천중학교,학교,8.8,True,
CG_01508,False,,,,,False,
CG_01507,False,,,,,False,
CG_01510,False,,,,,False,
CG_01474,False,,,,,False,
CG_01539,False,,,,,False,
CG_01541,False,,,,,False,
CG_01439,False,,,,,False,
CG_01540,False,,,,,False,
CG_00637,False,,,,,False,
CG_00635,False,,,,,False,
CG_00588,False,,,,,False,
CG_00636,False,,,,,False,
CG_00721,False,,,,,False,
CG_00680,False,,,,,False,
CG_00681,False,,,,,False,
CG_00679,False,,,,,False,
CG_01029,False,,,,,False,
CG_01061,False,,,,,False,
CG_00905,True,inside_polygon,석정초등학교,학교,0.0,True,
CG_00971,False,,,,,False,
CG_00939,False,,,,,False,
CG_00938,False,,,,,False,
CG_00884,True,inside_polygon,석정중학교,학교,0.0,True,
CG_00860,False,,,,,False,
CG_00883,False,,,,,False,
