학교ID,학교명,위도,경도,소재지도로명주소,시도교육청명
B000003090,인천약산초등학교,37.46774114,126.7102298,인천광역시 남동구 간석로26번길 10,인천광역시교육청
B000003146,인천봉수초등학교,37.52638812,126.6786861,인천광역시 서구 봉오대로267번길 11-4,인천광역시교육청
B000003084,인천은봉초등학교,37.40547311,126.7252797,인천광역시 남동구 은봉로312번길 11,인천광역시교육청
B000003174,양도초등학교,37.68897162,126.4193695,인천광역시 강화군 양도면 강화남로 1036,인천광역시교육청
B000025193,인천만월초등학교,37.44180662,126.7155208,인천광역시 남동구 선수촌로 28,인천광역시교육청
B000025226,인천송일초등학교,37.38418802,126.635135,인천광역시 연수구 컨벤시아대로252번길 15,인천광역시교육청
B000003014,인천진산초등학교,37.51294482,126.7416908,인천광역시 부평구 굴포로 194-10,인천광역시교육청
B000002972,인천용정초등학교,37.45943698,126.657235,인천광역시 미추홀구 독정안길 26,인천광역시교육청
B000003070,인천남촌초등학교,37.42976361,126.713181,인천광역시 남동구 남촌로 101,인천광역시교육청
B000003115,인천신대초등학교,37.53895621,126.7435806,인천광역시 계양구 계산새로 133,인천광역시교육청
B000002958,인천삼목초등학교,37.49866348,126.486412,인천광역시 중구 신도시북로 42,인천광역시교육청
B000003011,인천갈산초등학교,37.5125544,126.7283628,인천광역시 부평구 갈월동로 55,인천광역시교육청
B000003156,인천왕길초등학교,37.60198104,126.6510585,인천광역시 서구 봉수대로1440번길 20,인천광역시교육청
B000003093,인천석천초등학교,37.4559795,126.7087815,인천광역시 남동구 남동대로 828,인천광역시교육청
B000002966,인천송림초등학교,37.47377103,126.6374351,인천광역시 동구 화도진로 10,인천광역시교육청
B000003036,인천신촌초등학교,37.48675419,126.7067291,인천광역시 부평구 경원대로 1215,인천광역시교육청
B000003028,인천부흥초등학교,37.49625571,126.7311865,인천광역시 부평구 부흥로366번길 34,인천광역시교육청
B000002971,인천숭의초등학교,37.46371972,126.6557067,인천광역시 미추홀구 장천로 99,인천광역시교육청
B000003029,인천부평동초등학교,37.49951398,126.7244083,인천광역시 부평구 부평대로88번길 19,인천광역시교육청
B000026468,인천아람초등학교,37.58710386,126.7167189,인천광역시 서구 이음1로 289,인천광역시교육청
B000025690,인천별빛초등학교,37.49086001,126.5505513,인천광역시 중구 은하수로 402,인천광역시교육청
B000003038,인천십정초등학교,37.4742768,126.6982451,인천광역시 부평구 배곶북로 10-6,인천광역시교육청
B000003117,인천병방초등학교,37.5466581,126.7403118,인천광역시 계양구 병방로 2,인천광역시교육청
B000002994,대청초등학교,37.83260281,124.6968435,인천광역시 옹진군 대청면 대청로244번길 110,인천광역시교육청
B000025752,인천도담초등학교,37.52782132,126.6439914,인천광역시 서구 청라커낼로 217,인천광역시교육청
B000003135,인천공촌초등학교,37.54867977,126.6832573,인천광역시 서구 심곡로188번길 21,인천광역시교육청
B000003049,인천축현초등학교,37.42252517,126.6542596,인천광역시 연수구 청량로 176,인천광역시교육청
B000002998,백령초등학교,37.97538221,124.7153331,인천광역시 옹진군 백령면 백령로316번길 91,인천광역시교육청
B000003180,합일초등학교,37.74428793,126.4828082,인천광역시 강화군 강화읍 합일길 3,인천광역시교육청
B000002949,인천신흥초등학교,37.47024571,126.6282027,인천광역시 중구 제물량로 134,인천광역시교육청
B000002983,인천남부초등학교,37.45036277,126.6758729,인천광역시 미추홀구 인주대로366번길 22,인천광역시교육청
B000003061,인천서면초등학교,37.40366537,126.6708267,인천광역시 연수구 먼우금로 54,인천광역시교육청
B000003129,인천작동초등학교,37.52928914,126.7359408,인천광역시 계양구 까치말로 35,인천광역시교육청
B000002951,인천신선초등학교,37.45138643,126.6275735,인천광역시 중구 축항대로291번길 33,인천광역시교육청
B000002952,인천송월초등학교,37.47887903,126.6246821,인천광역시 중구 자유공원로 106-8,인천광역시교육청
B000003086,인천동방초등학교,37.40316071,126.7195491,인천광역시 남동구 논현역로 31,인천광역시교육청
B000003010,인천청천초등학교,37.52046929,126.7003896,인천광역시 부평구 산청로127번길 10,인천광역시교육청
B000003006,인천부평서초등학교,37.49511249,126.7218358,인천광역시 부평구 부평문화로53번길 19,인천광역시교육청
B000002999,인천공항초등학교신도분교장,37.52007825,126.4427803,인천광역시 옹진군 북도면 신도로896번길 18-31,인천광역시교육청
B000003031,인천산곡북초등학교,37.51140879,126.7016548,인천광역시 부평구 산청로 18,인천광역시교육청
B000003126,인천부현초등학교,37.5363774,126.7320664,인천광역시 계양구 장제로755번길 30,인천광역시교육청
B000003050,인천송도초등학교,37.42676606,126.6586027,인천광역시 연수구 비류대로214번길 21,인천광역시교육청
B000003053,인천중앙초등학교,37.41725067,126.6859818,인천광역시 연수구 새말로 153,인천광역시교육청
B000002985,인천서화초등학교,37.47398641,126.6608141,인천광역시 미추홀구 송림로 250,인천광역시교육청
B000003125,인천부평초등학교,37.5421158,126.7229874,인천광역시 계양구 어사대로 20,인천광역시교육청
B000003121,인천귤현초등학교,37.56854736,126.7470101,인천광역시 계양구 귤현길 15,인천광역시교육청
B000003147,인천신현북초등학교,37.51838361,126.6667051,인천광역시 서구 원창로 147,인천광역시교육청
B000003116,인천길주초등학교,37.54202031,126.7427317,인천광역시 계양구 용종로 90,인천광역시교육청
B000002981,인천경원초등학교,37.46136602,126.6957692,인천광역시 미추홀구 경인로 511,인천광역시교육청
B000003172,인천은지초등학교,37.56470084,126.6849902,인천광역시 서구 승학로572번길 22,인천광역시교육청
B000003021,인천금마초등학교,37.47847426,126.7492925,인천광역시 부평구 일신로 88,인천광역시교육청
