유치원명,설립유형,주소,위도,경도,인가총정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,총원아수
인천백운초등학교병설유치원,공립(병설),인천광역시 부평구 아트센터로 130,37.48004768,126.7048637,36,0,3,15,0,18
인천부개서초등학교병설유치원,공립(병설),인천광역시 부평구 부일로 39,37.48990126,126.7351814,15,0,0,0,10,10
인천부개초등학교병설유치원,공립(병설),인천광역시 부평구 마분로 9,37.48566159,126.7382914,15,0,0,0,11,11
인천부광초등학교병설유치원,공립(병설),인천광역시 부평구 충선로 104,37.49907592,126.7366908,15,0,0,0,5,5
인천부마초등학교병설유치원,공립(병설),인천광역시 부평구 안남로253번길 41,37.50634867,126.7058973,48,11,14,12,0,37
인천부원초등학교병설유치원,공립(병설),인천광역시 부평구 원적로472번길 29,37.5025373,126.7194822,52,4,7,11,0,22
인천부일초등학교병설유치원,공립(병설),인천광역시 부평구 부흥북로 175,37.50120256,126.741505,48,12,10,5,0,27
인천부평남초등학교병설유치원,공립(병설),인천광역시 부평구 경인로911번길 28,37.48859452,126.7203223,34,0,0,5,9,14
인천부평동초등학교병설유치원,공립(병설),인천광역시 부평구 부평대로88번길 19,37.4999443,126.723886,36,0,10,5,0,15
인천부평북초등학교병설유치원,공립(병설),인천광역시 부평구 주부토로 292,37.52062561,126.7296659,15,0,0,0,3,3
인천부평서초등학교병설유치원,공립(병설),인천광역시 부평구 부평문화로53번길 19,37.49457242,126.7213037,15,0,0,0,15,15
인천부현초등학교병설유치원,공립(병설),인천광역시 계양구 장제로755번길 30,37.53566968,126.7317954,15,0,0,0,6,6
인천산곡초등학교병설유치원,공립(병설),인천광역시 부평구 길주로354번길 39,37.50765314,126.7019193,36,0,6,6,0,12
인천상정초등학교병설유치원,공립(병설),인천광역시 부평구 상정로 50,37.47968383,126.6990359,15,0,0,0,10,10
인천서운초등학교병설유치원,공립(병설),인천광역시 계양구 서운로 12,37.52697637,126.7447213,34,0,0,9,3,12
인천성지초등학교병설유치원,공립(병설),인천광역시 계양구 아나지로247번길 8,37.52649073,126.720066,19,0,0,0,5,5
인천소양초등학교병설유치원,공립(병설),인천광역시 계양구 박촌로 53,0.0,37.55599778,0,0,0,4,2,6
인천안남초등학교병설유치원,공립(병설),인천광역시 계양구 경명대로1114번길 26,37.5402453,126.7320485,48,3,4,5,0,12
인천안산초등학교병설유치원,공립(병설),인천광역시 계양구 임학서로 15,37.54409319,126.7317526,34,0,0,5,3,8
인천양촌초등학교병설유치원,공립(병설),인천광역시 계양구 장제로 954,37.5506866,126.7443731,34,0,0,3,2,5
인천영선초등학교병설유치원,공립(병설),인천광역시 부평구 충선로 293,37.51537295,126.734435,36,0,5,13,0,18
인천용마초등학교병설유치원,공립(병설),인천광역시 부평구 세월천로30번길 58,37.51578599,126.7071447,36,0,8,10,0,18
인천청천초등학교병설유치원,공립(병설),인천광역시 부평구 산청로127번길 10,37.52047046,126.7003899,64,24,16,14,0,54
인천해서초등학교병설유치원,공립(병설),인천광역시 계양구 계산로 42-1,37.54015839,126.7177107,15,0,0,0,6,6
인천화전유치원,공립(단설),인천광역시 계양구 효서로 314,37.52767437,126.7310888,96,18,20,20,0,58
인천후정초등학교병설유치원,공립(병설),인천광역시 부평구 영성서로 56,37.52315643,126.7435864,52,8,14,12,0,34
자연유치원,사립(사인),인천광역시 계양구 봉오대로477번길 18,37.53007038,126.7012504,181,15,20,43,0,78
정민유치원,사립(사인),인천광역시 부평구 부흥로111번길 51,37.50042332,126.7040354,172,44,47,66,0,157
정원유치원,사립(사인),인천광역시 계양구 봉오대로743번길 20,37.53214482,126.7321669,200,21,31,36,0,88
청담유치원,사립(사인),인천광역시 부평구 동수천로 70,37.49159718,126.7363703,252,10,15,42,0,67
청송유치원,사립(사인),인천광역시 부평구 부평문화로 37,37.49194776,126.7183113,90,3,3,14,0,20
청원유치원,사립(법인),인천광역시 부평구 화랑로47번길 61,37.48990826,126.7019017,300,34,27,49,0,110
프렌즈유치원,사립(사인),인천광역시 부평구 주부토로 201,37.512578,126.723287,96,35,36,25,0,96
한빛유치원,사립(사인),인천광역시 부평구 부흥로123번길 36,0.0,37.499461,0,0,12,28,21,61
해마루유치원,사립(사인),인천광역시 부평구 일신로 120,37.47681444,126.750489,170,22,37,43,0,102
해승유치원,사립(사인),인천광역시 계양구 도두리로 54,37.5335359,126.7402976,128,23,47,53,0,123
햇살유치원,사립(사인),인천광역시 부평구 안남로 260,37.50585156,126.7097254,121,39,39,43,0,121
현대유치원,사립(사인),인천광역시 부평구 갈월동로 66,37.51296019,126.7293275,200,34,29,49,0,112
홍익유치원,사립(사인),인천광역시 부평구 길주로494번길 12,37.50737764,126.7155553,99,23,22,18,0,63
경서유치원,사립(사인),인천광역시 서구 경서로56번길 7-2,37.55738998,126.6547855,189,69,70,50,0,189
꼬마정원유치원,사립(사인),인천광역시 서구 봉화로15번길 11-7,37.59421911,126.6356066,300,53,49,79,0,181
꿈드림유치원,사립(사인),인천광역시 서구 장고개로280번길 7-1,37.4882261,126.6836615,80,14,22,27,0,63
다은유치원,사립(사인),인천광역시 서구 청중로478번길 9,37.52918749,126.6648313,266,86,77,103,0,266
드림유치원,사립(사인),인천광역시 서구 청라커낼로223번길 13,37.52831495,126.6430599,370,117,126,127,0,370
리라유치원,사립(사인),인천광역시 서구 원당대로839번안길 6,37.59513154,126.6943762,140,29,58,53,0,140
명문유치원,사립(사인),인천광역시 서구 고산로 16,37.59434012,126.7019296,100,22,25,52,0,99
무지개유치원,사립(사인),인천광역시 서구 검단로487번길 52-1,37.60665329,126.660761,293,22,42,45,0,109
바다유치원,사립(사인),인천광역시 서구 염곡로311번길 7,37.51235929,126.66761,82,17,18,29,0,64
뿌리유치원,사립(사인),인천광역시 서구 강남로 1,37.51004879,126.6716602,150,3,12,19,0,34
사랑샘유치원,사립(사인),인천광역시 서구 원당대로820번2길 5,37.59145809,126.6916612,620,100,180,168,0,448
산새소리유치원,사립(사인),인천광역시 서구 서달로 198,37.51658112,126.6803625,261,75,87,94,0,256
산울림유치원,사립(사인),인천광역시 서구 봉수대로 1548-15,37.61184662,126.6445538,70,0,0,0,37,37
새한신유치원,사립(사인),인천광역시 서구 여우재로 129,37.48954072,126.6860792,170,60,55,55,0,170
세라유치원,사립(사인),인천광역시 서구 경서로 80,37.55955936,126.653825,247,82,69,96,0,247
아림유치원,사립(사인),인천광역시 서구 장고개로 375-11,37.49556258,126.690799,224,69,72,58,0,199
아이사랑유치원,사립(사인),인천광역시 서구 도요지로201번길 12,37.55789385,126.6727314,249,72,90,85,0,247
엔젤유치원,사립(사인),인천광역시 서구 청라커낼로 163,37.52756682,126.6373104,122,46,44,27,0,117
연희유치원,사립(사인),인천광역시 서구 탁옥로85번길 6,37.54432059,126.6793083,167,24,36,69,0,129
예빛유치원,사립(사인),인천광역시 서구 경서로32번길 18,37.55553112,126.6562528,182,48,68,47,0,163
예인유치원,사립(사인),인천광역시 서구 원당대로819번길 3,37.59438769,126.6920968,311,60,88,125,0,273
예일유치원,사립(사인),인천광역시 서구 장고개로337번길 12,37.49308503,126.6858499,187,58,52,56,0,166
예지유치원,사립(사인),인천광역시 서구 검단로 836,37.61691508,126.6917781,178,57,46,75,0,178
은하유치원,사립(사인),인천광역시 서구 완정로10번길 20,37.59583354,126.6740157,224,52,55,81,0,188
