학교ID,학교명,gu,case_type,priority_score,child_pop_quartile,redev_total,outlier_type,rule_based_case_type,ml_case_type,ml_prob_case1,ml_prob_case2,ml_prob_case3,ml_prob_case4,mismatch_flag,mismatch_type
B000003172,인천은지초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1695,0.2366,0.2847,0.3091,1,rule_case_vs_ml_case
B000022832,인천한빛초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.0121,0.1613,0.3538,0.4728,0,match
B000022834,인천청람초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.1374,0.3385,0.2822,0.2419,1,rule_case_vs_ml_case
B000022839,인천청일초등학교,서구,2.0,3.0,Q4,0,normal,2,2,0.1338,0.3596,0.256,0.2507,0,match
B000024924,인천하늘초등학교,중구,4.0,1.0,Q3,0,normal,4,4,0.1018,0.1889,0.2767,0.4326,0,match
B000025189,인천송명초등학교,연수구,2.0,3.0,Q1,0,normal,2,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000025193,인천만월초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.1015,0.1643,0.3478,0.3864,0,match
B000025196,인천장서초등학교,남동구,4.0,1.0,Q2,0,normal,4,4,0.1705,0.1917,0.2823,0.3556,0,match
B000025202,인천장아초등학교,남동구,4.0,1.0,Q2,0,normal,4,4,0.1695,0.2366,0.2847,0.3091,0,match
B000025206,인천새봄초등학교,연수구,2.0,3.0,Q4,0,normal,2,2,0.1338,0.3596,0.256,0.2507,0,match
B000025210,인천연송초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000025222,인천현송초등학교,연수구,2.0,3.0,Q1,0,normal,2,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000025225,인천송빛초등학교,연수구,1.0,4.0,Q1,0,normal,1,1,0.5033,0.1717,0.1314,0.1936,0,match
B000025226,인천송일초등학교,연수구,4.0,1.0,Q2,0,normal,4,4,0.2639,0.2042,0.2037,0.3281,0,match
B000025228,인천예송초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.2603,0.2594,0.1831,0.2973,1,rule_case_vs_ml_case
B000025236,인천첨단초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000025246,인천미송초등학교,연수구,2.0,3.0,Q3,0,normal,2,4,0.0844,0.1292,0.382,0.4044,1,rule_case_vs_ml_case
B000025248,인천은송초등학교,연수구,1.0,4.0,Q3,0,normal,1,4,0.0121,0.1613,0.3538,0.4728,1,rule_case_vs_ml_case
B000025256,인천송원초등학교,연수구,4.0,1.0,Q2,0,normal,4,4,0.2603,0.2594,0.1831,0.2973,0,match
B000025512,인천용학초등학교,미추홀구,2.0,3.0,Q1,0,normal,2,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000025677,인천주안초등학교,미추홀구,3.0,2.0,Q4,0,normal,3,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000025690,인천별빛초등학교,중구,4.0,1.0,Q3,0,normal,4,4,0.0844,0.1292,0.382,0.4044,0,match
B000025751,인천경연초등학교,서구,3.0,2.0,Q3,0,normal,3,4,0.1018,0.1889,0.2767,0.4326,1,rule_case_vs_ml_case
B000025752,인천도담초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.0269,0.3832,0.2524,0.3375,1,rule_case_vs_ml_case
B000025756,인천청호초등학교,서구,4.0,1.0,Q4,0,normal,4,4,0.1357,0.212,0.3187,0.3337,0,match
B000026155,인천한들초등학교,서구,2.0,3.0,Q1,0,normal,2,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000026332,인천백석초등학교,서구,4.0,1.0,Q2,0,normal,4,4,0.1695,0.2366,0.2847,0.3091,0,match
B000026333,인천가원초등학교,서구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000026466,인천아라초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1631,0.2369,0.2608,0.3392,1,rule_case_vs_ml_case
B000026467,인천해든초등학교,서구,3.0,2.0,Q3,0,normal,3,4,0.1018,0.1889,0.2767,0.4326,1,rule_case_vs_ml_case
B000026468,인천아람초등학교,서구,2.0,3.0,Q2,0,normal,2,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000026469,인천한별초등학교,서구,4.0,1.0,Q4,0,normal,4,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000026470,인천이음초등학교,서구,2.0,3.0,Q3,0,normal,2,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000026471,인천신검단초등학교,서구,2.0,3.0,Q1,0,normal,2,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000026504,인천송담초등학교,연수구,1.0,4.0,Q2,0,normal,1,4,0.1705,0.1917,0.2823,0.3556,1,rule_case_vs_ml_case
B000027505,인천중산초등학교,중구,4.0,1.0,Q3,0,normal,4,4,0.1018,0.1889,0.2767,0.4326,0,match
